arab	engl	desc	info	phon	line
اﺗﺠﺰب	to be attracted	vi	NA	itjazab	itjazab ‫ اﺗﺠﺰب‬vi (jazba) 1 to be attracted 2 to be in a state of religious ecstasy
اﺗﺠﺰب	to be in a state of religious ecstasy	vi	NA	itjazab	itjazab ‫ اﺗﺠﺰب‬vi (jazba) 1 to be attracted 2 to be in a state of religious ecstasy
اﺗﻜﺎﺑﺲ	to be squeezed into	vi	mukaabasa	itkaabas	itkaabas ‫ اﺗﻜﺎﺑﺲ‬vi (mukaabasa) to be squeezed into
اﺗﻜﺎﺗﻞ	to fight with one another	vt	mukaatala	itkaatal	itkaatal ‫ اﺗﻜﺎﺗﻞ‬vt (mukaatala) to fight with one another
اﺗﻜﺒﺲ	to be filled to the brim	vi	kabsa	itkabas	itkabas ‫ اﺗﻜﺒﺲ‬vi (kabsa) to be filled to the brim
ّ اﺗﻜﺐ	to be poured (out)	vi	kabb	itkabba ّ	itkabba ّ‫ اﺗﻜﺐ‬vi (kabb) to be poured (out)
اﺗﻜﺒّﺮ	to be(come) conceited, arrogant, haughty	vi	takabbur	itkabbar	itkabbar ‫ اﺗﻜﺒّﺮ‬vi (takabbur) to be(come) conceited, arrogant, haughty
اﺗﻜﻔﻰ	to have fallen/lie in an abnormal position (of things); to lie on one's stomach	vi	-i, kafiya	itkafa	itkafa ‫ اﺗﻜﻔﻰ‬vi (-i, kafiya) to have fallen/lie in an abnormal position (of things); to lie on one's stomach
اﺗﻜﻔّﻰ	(be-) to be satisfied, content (with)	vi	-a, kifaaya	itkaffa	itkaffa ‫ اﺗﻜﻔّﻰ‬vi (-a, kifaaya) (be-) to be satisfied, content (with)
ّ اﺗﻜﻒ	to be hemmed exaggerate; itkallaf fi l-maskana he exaggerated his misery	vi	NA	itkaffa ّ	itkaffa ّ‫ اﺗﻜﻒ‬vi (kaff) 1 to be hemmed exaggerate; itkallaf fi l-maskana he exaggerated his misery
اﺗﻜﻠّﻢ	(fi/ʿan) to speak, talk (about)	vi	kalaam	itkallam	itkallam ‫ اﺗﻜﻠّﻢ‬vi (kalaam) (fi/ʿan) to speak, talk (about)
اﺗﻜﻤّﻞ	to be made complete	vi	kamaal, kamla	itkammal	itkammal ‫ اﺗﻜﻤّﻞ‬vi (kamaal, kamla) to be made complete
اﺗﻜﺮﻓﺲ	to shrink, contract (from cold); to huddle up for warmth	vi	NA	itkarfas	itkarfas ‫ اﺗﻜﺮﻓﺲ‬vi (kirfees, karfasa) 1 to shrink, contract (from cold); to huddle up for warmth 2 to be(come) crumpled, creased
اﺗﻜﺮﻓﺲ	to be(come) crumpled, creased	vi	NA	itkarfas	itkarfas ‫ اﺗﻜﺮﻓﺲ‬vi (kirfees, karfasa) 1 to shrink, contract (from cold); to huddle up for warmth 2 to be(come) crumpled, creased
اﺗﻜﺮﻣﺶ	to be(come) crumpled, creased; to be(come) wrinkled (clothes or face)	vi	kirmeesh, karmasha	itkarmash	itkarmash ‫ اﺗﻜﺮﻣﺶ‬vi (kirmeesh, karmasha) to be(come) crumpled, creased; to be(come) wrinkled (clothes or face)
اﺗﻜﺮّع	to belch	vi	tikirriʿ	itkarraʿ	itkarraʿ ‫ اﺗﻜﺮّع‬vi (tikirriʿ) to belch
اﺗﻜﺴﻒ	to be(come) embarrassed	vi	kasif, kasfa	itkasaf	itkasaf ‫ اﺗﻜﺴﻒ‬vi (kasif, kasfa) to be(come) embarrassed
اﺗﻜﺴﺮ	to break, be broken	vi	kasir, kisseer	itkasar	itkasar ‫ اﺗﻜﺴﺮ‬vi (kasir, kisseer) to break, be broken
اﺗﻜﺴّﺮ	to break, be broken (in pieces), be smashed	vi	kisseer, takassur	itkassar	itkassar ‫ اﺗﻜﺴّﺮ‬vi (kisseer, takassur) to break, be broken (in pieces), be smashed
اﺗﻜﺸﺢ	to be thrown away (any liquid, e.g. dirty water)	vt	kashḥa	itkashaḥ	itkashaḥ ‫ اﺗﻜﺸﺢ‬vt (kashḥa) to be thrown away (any liquid, e.g. dirty water)
اﺗﻜﺘﻞ	to be killed	vi	katil	itkatal	itkatal ‫ اﺗﻜﺘﻞ‬vi (katil) to be killed
اﺗﻜﺘﻢ	to be stifled; to be suppressed (of emotions)	vi	NA	itkatam	itkatam ‫ اﺗﻜﺘﻢ‬(katma) vi 1 to be stifled; to be suppressed (of emotions) 2 to be lowered, muffled (of voice); to be dampened (of sound)
اﺗﻜﺘﻢ	to be lowered, muffled (of voice); to be dampened (of sound)	vi	NA	itkatam	itkatam ‫ اﺗﻜﺘﻢ‬(katma) vi 1 to be stifled; to be suppressed (of emotions) 2 to be lowered, muffled (of voice); to be dampened (of sound)
اﺗﻜﻮى	to be ironed	vi	kawi, kay, kawayaan	itkawa	itkawa ‫ اﺗﻜﻮى‬vi (kawi, kay, kawayaan) to be ironed
اﺗﻜﻮّم	to be piled up	vi	kiwweem	itkawwam	itkawwam ‫ اﺗﻜﻮّم‬vi (kiwweem) to be piled up
اﺗﻜﻮّن	to be formed; to be set up	vi	takawwun	itkawwan	itkawwan ‫ اﺗﻜﻮّن‬vi (takawwun) to be formed; to be set up
اﺗﻜﯿّﻒ	le- to like doing sth., to be glad to be with s.o.; trouser legs)	vi	NA	itkayyaf	itkayyaf ‫ اﺗﻜﯿّﻒ‬vi 1 (kiyyeef) le- to like doing sth., to be glad to be with s.o.; trouser legs)
اﺗﻜﮭﺮب	to be electrified	vi	takahrub	itkahrab	itkahrab ‫ اﺗﻜﮭﺮب‬vi (takahrub) to be electrified
اﺗﻜﻠّﻒ	to cost	vt	NA	itkallaf	itkallaf ‫ اﺗﻜﻠّﻒ‬(taklifa, kulfa) vt to cost
اﺗﻜﻠّﻒ	ʿala to become familiar with, accustomed to, adapted to	vt	NA	itkallaf	itkallaf ‫ اﺗﻜﻠّﻒ‬vt (takalluf) fi to drinking coffee, tea or alcohol) 2 (takayyuf) ʿala to become familiar with, accustomed to, adapted to
اﺗﺨﺒﻂ	to be hit; to be knocked; to be nudged	vi	khabṭa	itkhabaṭ	itkhabaṭ ‫ اﺗﺨﺒﻂ‬vi (khabṭa) to be hit; to be knocked; to be nudged
اﺗﺨﺒّﻂ	to knocked on (e.g. of door)	vi	NA	itkhabbaṭ	itkhabbaṭ ‫ اﺗﺨﺒّﻂ‬vi (khibbeeṭ, takhbiiṭ) 1 to knocked on (e.g. of door) 2 to mess about, do a bad job; itkhabbaṭ fi t-tafkiir to think haphazardly and illogically; maashi itkhabbaṭ to reel
اﺗﺨﺒّﻂ	to mess about, do a bad job; itkhabbaṭ fi t-tafkiir to think haphazardly and illogically; maashi itkhabbaṭ to reel	vi	NA	itkhabbaṭ	itkhabbaṭ ‫ اﺗﺨﺒّﻂ‬vi (khibbeeṭ, takhbiiṭ) 1 to knocked on (e.g. of door) 2 to mess about, do a bad job; itkhabbaṭ fi t-tafkiir to think haphazardly and illogically; maashi itkhabbaṭ to reel
اﺗﺨﺪش	to be scratched	vi	khadish	itkhadash	itkhadash ‫ اﺗﺨﺪش‬vi (khadish) to be scratched
اﺗﺨﺪّر	to be drugged, anaesthetized	vi	khiddeer	itkhaddar	itkhaddar ‫ اﺗﺨﺪّر‬vi (khiddeer) to be drugged, anaesthetized
اﺗﺨﻔّﻒ	to be(come) lighter (of weight)	vi	NA	itkhaffaf	itkhaffaf ‫ اﺗﺨﻔّﻒ‬vi (khiffeef, takhfiif) 1 to be(come) lighter (of weight) 2 to be relieved (of pain, pressure, etc.)
اﺗﺨﻔّﻒ	to be relieved (of pain, pressure, etc.)	vi	NA	itkhaffaf	itkhaffaf ‫ اﺗﺨﻔّﻒ‬vi (khiffeef, takhfiif) 1 to be(come) lighter (of weight) 2 to be relieved (of pain, pressure, etc.)
اﺗﺨﻠﻊ	(min) to be frightened (by), be startled (by), to shy (at); itkhalaʿta khulʿa I jumped out of my skin, I had such a fright	vi	khulʿa	itkhalaʿ	itkhalaʿ ‫ اﺗﺨﻠﻊ‬vi (khulʿa) (min) to be frightened (by), be startled (by), to shy (at); itkhalaʿta khulʿa I jumped out of my skin, I had such a fright
اﺗﺨﻠﺨﻞ	to work loose (e.g. a tooth, a pole)	vi	khilkheel, khalkhala	itkhalkhal	itkhalkhal ‫ اﺗﺨﻠﺨﻞ‬vi (khilkheel, khalkhala) to work loose (e.g. a tooth, a pole)
اﺗﺨﻠّﻞ	to be pickled	vi	khilleel, takhallul	itkhallal	itkhallal ‫ اﺗﺨﻠّﻞ‬vi (khilleel, takhallul) to be pickled
اﺗﺨﻠّﺺ	to be finished with	vi	NA	itkhallaṣ	itkhallaṣ ‫ اﺗﺨﻠّﺺ‬vi min 1 (khilleeṣ) to be finished with 2 (khalaas, takhalluṣ) to get rid of
اﺗﺨﻠّﺺ	to get rid of	vi	NA	itkhallaṣ	itkhallaṣ ‫ اﺗﺨﻠّﺺ‬vi min 1 (khilleeṣ) to be finished with 2 (khalaas, takhalluṣ) to get rid of
اﺗﺨﻤّﺮ	to ferment; to be leavened	vi	khimmeer	itkhammar	itkhammar ‫ اﺗﺨﻤّﺮ‬vi (khimmeer) to ferment; to be leavened
اﺗﺨﻤّﺲ	to be shared (e.g. a piece of bread, a cigarette, a chair)	vi	khimmees	itkhammas	itkhammas ‫ اﺗﺨﻤّﺲ‬vi (khimmees) to be shared (e.g. a piece of bread, a cigarette, a chair)
اﺗﺨﻨﻖ	to choke, suffocate; to be stifled, strangled	vi	khanig	itkhanag	itkhanag ‫ اﺗﺨﻨﻖ‬vi (khanig) to choke, suffocate; to be stifled, strangled
اﺗﺨﺮب	to be ruined, destroyed	vi	kharaab, kharba	itkharab	itkharab ‫ اﺗﺨﺮب‬vi (kharaab, kharba) to be ruined, destroyed
اﺗﺨﺮم	to be porous; to have a hole	vi	kharig	itkharam	itkharam ‫ اﺗﺨﺮم‬vi (kharig) to be porous; to have a hole
ّ اﺗﺨﺮ	to be leaked	vi	kharra	itkharra ّ	itkharra ّ‫ اﺗﺨﺮ‬vi (kharra) to be leaked
اﺗﺨﺮّب	to be destroyed, ruined, wrecked	vi	khirreeb, kharaab	itkharrab	itkharrab ‫ اﺗﺨﺮّب‬vi (khirreeb, kharaab) to be destroyed, ruined, wrecked
اﺗﺨﺮّف	to be(come) senile, feeble-minded	vi	NA	itkharraf	itkharraf ‫ اﺗﺨﺮّف‬vi (kharfa, khirreef) 1 to be(come) senile, feeble-minded 2 to talk nonsense
اﺗﺨﺮّف	to talk nonsense	vi	NA	itkharraf	itkharraf ‫ اﺗﺨﺮّف‬vi (kharfa, khirreef) 1 to be(come) senile, feeble-minded 2 to talk nonsense
اﺗﺨﺮّج	to graduate	vi	takharruj	itkharraj	itkharraj ‫ اﺗﺨﺮّج‬vi (takharruj) to graduate
اﺗﺨﻄﺐ	to be(come) engaged to marry (of girls, women)	vi	khuṭuuba	itkhaṭab	itkhaṭab ‫ اﺗﺨﻄﺐ‬vi (khuṭuuba) to be(come) engaged to marry (of girls, women)
اﺗﺨﻄّﻰ	to pass, overtake; to surpass, exceed; itkhaṭṭa ḥuduud-o he went too far	vt	-a, tikhiṭṭi	itkhaṭṭa	itkhaṭṭa ‫ اﺗﺨﻄّﻰ‬vt (-a, tikhiṭṭi) to pass, overtake; to surpass, exceed; itkhaṭṭa ḥuduud-o he went too far
اﺗﺨﻮّف	(min) to fear	vi	khoof	itkhawwaf	itkhawwaf ‫ اﺗﺨﻮّف‬vi (khoof) (min) to fear
اﺗﺨﯿّﻞ	to imagine	vt	takhayyul	itkhayyal	itkhayyal ‫ اﺗﺨﯿّﻞ‬vt (takhayyul) to imagine
اﺗﺨﺰل	to be disappointed	vi	khazil	itkhazal	itkhazal ‫ اﺗﺨﺰل‬vi (khazil) to be disappointed
اﺗﺨﺰّن	to be stored	vi	takhziin	itkhazzan	itkhazzan ‫ اﺗﺨﺰّن‬vi (takhziin) to be stored
اﺗﻠﻌﺐ	to be played (e.g. a match)	vi	liʿib	itlaʿab	itlaʿab ‫ اﺗﻠﻌﺐ‬vi (liʿib) to be played (e.g. a match)
اﺗﻼﻗﻰ	maʿa to meet	vi	-a, mulaagaa	itlaaga	itlaaga ‫ اﺗﻼﻗﻰ‬vi (-a, mulaagaa) maʿa to meet
اﺗﻠﺒّﺪ	to hide o.s.; to be hidden	vi	libbeed, tilibbid	itlabbad	itlabbad ‫ اﺗﻠﺒّﺪ‬vi (libbeed, tilibbid) to hide o.s.; to be hidden
اﺗﻠﺪغ	to be stung; be bitten (by snakes)	vi	ladgha	itladagh	itladagh ‫ اﺗﻠﺪغ‬vi (ladgha) to be stung; be bitten (by snakes)
ّ اﺗﻠﻒ	to be turned	vi	NA	itlaffa ّ	itlaffa ّ‫ اﺗﻠﻒ‬vi 1 (laff, lafafaan) to be turned 2 (laffa, lafafaan) to be twisted 3 (laff, lafafaan) to twist o.s. 4 (laffa, lafafaan) to be wrapped
ّ اﺗﻠﻒ	to be twisted	vi	NA	itlaffa ّ	itlaffa ّ‫ اﺗﻠﻒ‬vi 1 (laff, lafafaan) to be turned 2 (laffa, lafafaan) to be twisted 3 (laff, lafafaan) to twist o.s. 4 (laffa, lafafaan) to be wrapped
ّ اﺗﻠﻒ	to twist o.s.	vi	NA	itlaffa ّ	itlaffa ّ‫ اﺗﻠﻒ‬vi 1 (laff, lafafaan) to be turned 2 (laffa, lafafaan) to be twisted 3 (laff, lafafaan) to twist o.s. 4 (laffa, lafafaan) to be wrapped
ّ اﺗﻠﻒ	to be wrapped	vi	NA	itlaffa ّ	itlaffa ّ‫ اﺗﻠﻒ‬vi 1 (laff, lafafaan) to be turned 2 (laffa, lafafaan) to be twisted 3 (laff, lafafaan) to twist o.s. 4 (laffa, lafafaan) to be wrapped
اﺗﻠﻔّﺖ	to turn one's head	vi	liffeet, lafta	itlaffat	itlaffat ‫ اﺗﻠﻔّﺖ‬vi (liffeet, lafta) to turn one's head
اﺗﻠﻔّﻆ	maʿa to swear at, use bad language	vt	liffeeẓ, tiliffiẓ	itlaffaẓ	itlaffaẓ ‫ اﺗﻠﻔّﻆ‬vt (liffeeẓ, tiliffiẓ) maʿa to swear at, use bad language
اﺗﻠﻔﻠﻒ	to be wound	vi	NA	itlaflaf	itlaflaf ‫ اﺗﻠﻔﻠﻒ‬vi (lifleef, laflafa) 1 to be wound 2 to be wrapped 3 to be(come) tangled
اﺗﻠﻔﻠﻒ	to be wrapped	vi	NA	itlaflaf	itlaflaf ‫ اﺗﻠﻔﻠﻒ‬vi (lifleef, laflafa) 1 to be wound 2 to be wrapped 3 to be(come) tangled
اﺗﻠﻔﻠﻒ	to be(come) tangled	vi	NA	itlaflaf	itlaflaf ‫ اﺗﻠﻔﻠﻒ‬vi (lifleef, laflafa) 1 to be wound 2 to be wrapped 3 to be(come) tangled
اﺗﻠﻘﻰ	to be found	vi	-i, lagayaan	itlaga	itlaga ‫ اﺗﻠﻘﻰ‬vi (-i, lagayaan) to be found
اﺗﻠﻐﻰ	to be cancelled, abolished	vi	-i, laghiya	itlagha	itlagha ‫ اﺗﻠﻐﻰ‬vi (-i, laghiya) to be cancelled, abolished
اﺗﻠﺤﺲ	to be licked	vi	NA	itlaḥas	itlaḥas ‫ اﺗﻠﺤﺲ‬vi (laḥis, laḥasaan) 1 to be licked 2 (slang) to die, perish
اﺗﻠﺤﺲ	to die, perish	vi	NA	itlaḥas	itlaḥas ‫ اﺗﻠﺤﺲ‬vi (laḥis, laḥasaan) 1 to be licked 2 (slang) to die, perish
اﺗﻠﺠّﻢ	to have a bridle put on	vi	NA	itlajjam	itlajjam ‫ اﺗﻠﺠّﻢ‬vi (lijjeem) 1 to have a bridle put on 2 to be dumbfounded
اﺗﻠﺠّﻢ	to be dumbfounded	vi	NA	itlajjam	itlajjam ‫ اﺗﻠﺠّﻢ‬vi (lijjeem) 1 to have a bridle put on 2 to be dumbfounded
اﺗﻠﺨﻢ	to be(come) confused	vi	lakhma	itlakham	itlakham ‫ اﺗﻠﺨﻢ‬vi (lakhma) to be(come) confused
اﺗﻠﺨﺒﻂ	to be muddled; to be(come) a mess	vi	NA	itlakhbaṭ	itlakhbaṭ ‫ اﺗﻠﺨﺒﻂ‬vi (lakhbaṭa, likhbeeṭ) 1 to be muddled; to be(come) a mess 2 to be(come) confused
اﺗﻠﺨﺒﻂ	to be(come) confused	vi	NA	itlakhbaṭ	itlakhbaṭ ‫ اﺗﻠﺨﺒﻂ‬vi (lakhbaṭa, likhbeeṭ) 1 to be muddled; to be(come) a mess 2 to be(come) confused
اﺗﻠﺨﻠﺦ	to work loose (e.g. a tooth, a pole)	vi	likhleekh, lakhlakha	itlakhlakh	itlakhlakh ‫ اﺗﻠﺨﻠﺦ‬vi (likhleekh, lakhlakha) to work loose (e.g. a tooth, a pole)
اﺗﻠﻤﻠﻢ	to be gathered, collected (of things)	vi	lamlama, tilimlim	itlamlam	itlamlam ‫ اﺗﻠﻤﻠﻢ‬vi (lamlama, tilimlim) to be gathered, collected (of things)
ّ اﺗﻠﻢ	to be gathered, collected	vi	lamma, lamamaan	itlamma ّ	itlamma ّ‫ اﺗﻠﻢ‬vi (lamma, lamamaan) to be gathered, collected
اﺗﻠﺼﻖ	to stick, to be glued	vi	laṣga, laṣagaan	itlaṣag	itlaṣag ‫ اﺗﻠﺼﻖ‬vi (laṣga, laṣagaan) to stick, to be glued
اﺗﻠﺼّﻖ	to be glued	vi	liṣṣeeg, tiliṣṣig	itlaṣṣag	itlaṣṣag ‫ اﺗﻠﺼّﻖ‬vi (liṣṣeeg, tiliṣṣig) to be glued
اﺗﻠﻄﻊ	to have to wait for s.o. for a long time	vi	laṭʿa	itlaṭaʿ	itlaṭaʿ ‫ اﺗﻠﻄﻊ‬vi (laṭʿa) to have to wait for s.o. for a long time
اﺗﻠﻄّﺦ	to be(come) stained, blotted	vi	liṭṭeekh	itlaṭṭakh	itlaṭṭakh ‫ اﺗﻠﻄّﺦ‬vi (liṭṭeekh) to be(come) stained, blotted
اﺗﻠﻮى	to be bent (of metal)	vi	NA	itlawa	itlawa ‫ اﺗﻠﻮى‬vi (-i, lawiya) 1 to be bent (of metal) 2 to warp
اﺗﻠﻮى	to warp	vi	NA	itlawa	itlawa ‫ اﺗﻠﻮى‬vi (-i, lawiya) 1 to be bent (of metal) 2 to warp
اﺗﻠﻮﻟﻮ	to curl	vi	NA	itlawlaw	itlawlaw ‫ اﺗﻠﻮﻟﻮ‬vi (liwleew, lawlawa) 1 to curl 2 to coil 3 to wriggle 4 to prevaricate, twist and turn
اﺗﻠﻮﻟﻮ	to coil	vi	NA	itlawlaw	itlawlaw ‫ اﺗﻠﻮﻟﻮ‬vi (liwleew, lawlawa) 1 to curl 2 to coil 3 to wriggle 4 to prevaricate, twist and turn
اﺗﻠﻮﻟﻮ	to wriggle	vi	NA	itlawlaw	itlawlaw ‫ اﺗﻠﻮﻟﻮ‬vi (liwleew, lawlawa) 1 to curl 2 to coil 3 to wriggle 4 to prevaricate, twist and turn
اﺗﻠﻮﻟﻮ	to prevaricate, twist and turn	vi	NA	itlawlaw	itlawlaw ‫ اﺗﻠﻮﻟﻮ‬vi (liwleew, lawlawa) 1 to curl 2 to coil 3 to wriggle 4 to prevaricate, twist and turn
اﺗﻠﻮّى	to squirm	vi	-a, liwweey	itlawwa	itlawwa ‫ اﺗﻠﻮّى‬vi (-a, liwweey) to squirm
اﺗﻠﻮّع	to be frightened	vi	liwweeʿ	itlawwaʿ	itlawwaʿ ‫ اﺗﻠﻮّع‬vi (liwweeʿ) to be frightened
اﺗﻠﻮّم	to be blamed; to be reproached	vi	loom, liwweem	itlawwam	itlawwam ‫ اﺗﻠﻮّم‬vi (loom, liwweem) to be blamed; to be reproached
اﺗﻠﯿّﻦ	to be(come) moist; to be moistened	vi	NA	itlayyan	itlayyan ‫ اﺗﻠﯿّﻦ‬vi (liyyeen) 1 to be(come) moist; to be moistened 2 to be(come) supple
اﺗﻠﯿّﻦ	to be(come) supple	vi	NA	itlayyan	itlayyan ‫ اﺗﻠﯿّﻦ‬vi (liyyeen) 1 to be(come) moist; to be moistened 2 to be(come) supple
اﺗﻠﺰق	to stick, to be glued	vi	lazga, lazagaan	itlazag	itlazag ‫ اﺗﻠﺰق‬vi (lazga, lazagaan) to stick, to be glued
اﺗﻠﺰّق	to be glued	vi	lizzeeg, tilizzig	itlazzag	itlazzag ‫ اﺗﻠﺰّق‬vi (lizzeeg, tilizzig) to be glued
اﺗﻠﻮﻟﺢ	to swing	vi	loolaaḥ	itloolaḥ	itloolaḥ ‫ اﺗﻠﻮﻟﺢ‬vi (loolaaḥ) to swing
اﺗﻤﺎرض	to malinger	vi	tamaaruḍ	itmaaraḍ	itmaaraḍ ‫ اﺗﻤﺎرض‬vi (tamaaruḍ) to malinger
اﺗﻤﺎﺳﻚ	to hold hands	vi	tamaasuk	itmaasak	itmaasak ‫ اﺗﻤﺎﺳﻚ‬vi (tamaasuk) to hold hands
اﺗﻤﺎﻃﻞ	to procrastinate; to buy time	vi	tamaaṭul, mumaaṭala	itmaaṭal	itmaaṭal ‫ اﺗﻤﺎﻃﻞ‬vi (tamaaṭul, mumaaṭala) to procrastinate; to buy time
اﺗﻤﺎﯾﺢ	to sway	vi	mayaḥaan	itmaayaḥ	itmaayaḥ ‫ اﺗﻤﺎﯾﺢ‬vi (mayaḥaan) to sway
اﺗﻤﺎﯾﻞ	to sway	vi	NA	itmaayal	itmaayal ‫ اﺗﻤﺎﯾﻞ‬vi (mayalaan) 1 to sway 2 to wobble (in walking)
اﺗﻤﺎﯾﻞ	to wobble (in walking)	vi	NA	itmaayal	itmaayal ‫ اﺗﻤﺎﯾﻞ‬vi (mayalaan) 1 to sway 2 to wobble (in walking)
ّ اﺗﻤﺪ	to be extended	vi	NA	itmadda ّ	itmadda ّ‫ اﺗﻤﺪ‬vi 1 (middeed) to be extended 2 (madda) to lie (down)
ّ اﺗﻤﺪ	to lie (down)	vi	NA	itmadda ّ	itmadda ّ‫ اﺗﻤﺪ‬vi 1 (middeed) to be extended 2 (madda) to lie (down)
اﺗﻤﺪّد	to be prolonged, extended	vi	NA	itmaddad	itmaddad ‫ اﺗﻤﺪّد‬vi 1 (middeed, tamdiid) to be prolonged, extended 2 (middeed) to lie (down)
اﺗﻤﺪّد	to lie (down)	vi	NA	itmaddad	itmaddad ‫ اﺗﻤﺪّد‬vi 1 (middeed, tamdiid) to be prolonged, extended 2 (middeed) to lie (down)
اﺗﻤﺪّن	to be(come) civilized	vi	tamaddun	itmaddan	itmaddan ‫ اﺗﻤﺪّن‬vi (tamaddun) to be(come) civilized
اﺗﻤﻀﻤﺾ	to rinse the mouth	vi	maḍmaḍa	itmaḍmaḍ	itmaḍmaḍ ‫ اﺗﻤﻀﻤﺾ‬vi (maḍmaḍa) to rinse the mouth
اﺗﻤﻐﺺ	to be vexed (by); to be treated unjustly (by)	vi	NA	itmaghaṣ	itmaghaṣ ‫ اﺗﻤﻐﺺ‬vi (maghaṣa) (min) 1 to be vexed (by); to be treated unjustly (by) 2 to resent; to bear a grudge (against)
اﺗﻤﻐﺺ	to resent; to bear a grudge (against)	vi	NA	itmaghaṣ	itmaghaṣ ‫ اﺗﻤﻐﺺ‬vi (maghaṣa) (min) 1 to be vexed (by); to be treated unjustly (by) 2 to resent; to bear a grudge (against)
اﺗﻤﻐّﺺ	to be vexed (by); to be treated unjustly (by)	vi	NA	itmaghghaṣ	itmaghghaṣ ‫ اﺗﻤﻐّﺺ‬vi (mighgheeṣ, maghaṣa) (min) 1 to be vexed (by); to be treated unjustly (by) 2 to resent; to bear a grudge (against)
اﺗﻤﻐّﺺ	to resent; to bear a grudge (against)	vi	NA	itmaghghaṣ	itmaghghaṣ ‫ اﺗﻤﻐّﺺ‬vi (mighgheeṣ, maghaṣa) (min) 1 to be vexed (by); to be treated unjustly (by) 2 to resent; to bear a grudge (against)
اﺗﻤﺤﻰ	to be obliterated	vi	-i, maḥi	itmaḥa	itmaḥa ‫ اﺗﻤﺤﻰ‬vi (-i, maḥi) to be obliterated
اﺗﻤﺤّﻦ	to be(come) bewilderd, to be at a loss	vi	miḥḥeen	itmaḥḥan	itmaḥḥan ‫ اﺗﻤﺤّﻦ‬vi (miḥḥeen) to be(come) bewilderd, to be at a loss
اﺗﻤﻜﻦ	(min) to be in a tight corner, be hard pressed (by)	vi	makna	itmakan	itmakan ‫ اﺗﻤﻜﻦ‬vi (makna) (min) to be in a tight corner, be hard pressed (by)
اﺗﻤﻜّﻦ	to be very good at sth.	vi	NA	itmakkan	itmakkan ‫ اﺗﻤﻜّﻦ‬vi (tamkiin) min 1 to be very good at sth. 2 to be strong enough for, be a match for
اﺗﻤﻜّﻦ	to be strong enough for, be a match for	vi	NA	itmakkan	itmakkan ‫ اﺗﻤﻜّﻦ‬vi (tamkiin) min 1 to be very good at sth. 2 to be strong enough for, be a match for
اﺗﻤﺨّﻂ	to blow the nose	vi	mikhkheeṭ	itmakhkhaṭ	itmakhkhaṭ ‫ اﺗﻤﺨّﻂ‬vi (mikhkheeṭ) to blow the nose
اﺗﻤﻠﻰ	to be filled	vi	-i, mali, malayaan	itmala	itmala ‫ اﺗﻤﻠﻰ‬vi (-i, mali, malayaan) to be filled
اﺗﻤﻠﺦ	to be dislocated	vi	NA	itmalakh	itmalakh ‫ اﺗﻤﻠﺦ‬vi (malakhaan) 1 to be dislocated 2 to be sprained
اﺗﻤﻠﺦ	to be sprained	vi	NA	itmalakh	itmalakh ‫ اﺗﻤﻠﺦ‬vi (malakhaan) 1 to be dislocated 2 to be sprained
اﺗﻤﻠﺺ	to slip out (of one's grip)	vi	NA	itmalaṣ	itmalaṣ ‫ اﺗﻤﻠﺺ‬vi (malṣa) min 1 to slip out (of one's grip) 2 to slip/slide down, sag
اﺗﻤﻠﺺ	to slip/slide down, sag	vi	NA	itmalaṣ	itmalaṣ ‫ اﺗﻤﻠﺺ‬vi (malṣa) min 1 to slip out (of one's grip) 2 to slip/slide down, sag
اﺗﻤﻠّﻖ	to ingratiate o.s. with, flatter in order to win a favour	vt	tamalluq	itmallaq	itmallaq ‫ اﺗﻤﻠّﻖ‬vt (tamalluq) to ingratiate o.s. with, flatter in order to win a favour
اﺗﻤﻠّﺺ	min to break (a promise), to fail to keep (an appointment)	vi	milleeṣ	itmallaṣ	itmallaṣ ‫ اﺗﻤﻠّﺺ‬vi (milleeṣ) min to break (a promise), to fail to keep (an appointment)
اﻣﻠﻤﻞ	to wriggle (fidget)	vi	milmeel, malmala	itmalmal	itmalmal ‫ اﻣﻠﻤﻞ‬vi (milmeel, malmala) to wriggle (fidget)
اﺗﻤﻨّﻰ	to hope, wish	vi	-a, muna, tamanni	itmanna	itmanna ‫ اﺗﻤﻨّﻰ‬vi (-a, muna, tamanni) to hope, wish
اﺗﻤﺮﻣﺮ	to play or roll in the sand	vi	marmara	itmarmar	itmarmar ‫ اﺗﻤﺮﻣﺮ‬vi (marmara) to play or roll in the sand
اﺗﻤﺮّد	to rebel	vi	tamarrud	itmarrad	itmarrad ‫ اﺗﻤﺮّد‬vi (tamarrud) to rebel
اﺗﻤﺮّغ	be-/fi to cover o.s. (with dust or ashes, as an expression of grief)	vi	mirreegh, margha	itmarragh	itmarragh ‫ اﺗﻤﺮّغ‬vi (mirreegh, margha) be-/fi to cover o.s. (with dust or ashes, as an expression of grief)
اﺗﻤﺮّن	to practise, exercise	vi	tamriin	itmarran	itmarran ‫ اﺗﻤﺮّن‬vi (tamriin) to practise, exercise
اﺗﻤﺮﺻﻊ	to swing one's hips	vi	mirṣeeʿ, marṣaʿa	itmarṣaʿ	itmarṣaʿ ‫ اﺗﻤﺮﺻﻊ‬vi (mirṣeeʿ, marṣaʿa) to swing one's hips
