term	en_term	cat
موحدة مهمة لتحقيق الاستقرار منظمة الدول في جمهورية الكونغو الديمقراطية	united nations organization stabilization mission in the democratic republic of the congo	PEACEKEEPERS
قوة الأمم المتحدة الأمنية المؤقتة لأبيي	united nations interim security force for abyei	PEACEKEEPERS
بعثة الأمم المتحدة في جمهورية جنوب السودان	united nations mission in the republic of south sudan	PEACEKEEPERS
الأمم المتحدة لدعم مهمة في ليبيا	united nations support mission in libya	PEACEKEEPERS
متعددة الأبعاد المهمة لتحقيق الاستقرار في مالي متكامل	multidimensional integrated stabilization mission in mali	PEACEKEEPERS
بعثة الدعم الدولية في جمهورية أفريقيا الوسطى	international support mission in the central african republic	PEACEKEEPERS
موحدة بعثة الأمم تحقيق الاستقرار في هايتي	united nations stabilization mission in haiti	PEACEKEEPERS
مجموعة الأمم المتحدة العسكريين في الهند وباكستان	united nations military observer group in india and pakistan	PEACEKEEPERS
بعثة الأمم المتحدة للمساعدة في أفغانستان	united nations assistance mission in afghanistan	PEACEKEEPERS
الأمم المتحدة لمراقبة الهدنة	united nations truce supervision organization	PEACEKEEPERS
قوة الأمم المتحدة لمراقبة فض الاشتباك	united nations disengagement observer force	PEACEKEEPERS
قوة الأمم المتحدة المؤقتة في لبنان	united nations interim force in lebanon	PEACEKEEPERS
موحدة قوة حفظ السلام في قبرص الدول	united nations peacekeeping force in cyprus	PEACEKEEPERS
بعثة الأمم المتحدة المؤقتة في كوسوفو	united nations interim administration mission in kosovo	PEACEKEEPERS
بعثة الأمم المتحدة	unmik	PEACEKEEPERS
ONUC	onuc	PEACEKEEPERS
بعثة الأمم المتحدة	unavem	PEACEKEEPERS
موزامبيق	onumoz	PEACEKEEPERS
بعثة مراقبي الأمم المتحدة	unomil	PEACEKEEPERS
بعثة الأمم المتحدة	unamsil	PEACEKEEPERS
البعثة	unmee	PEACEKEEPERS
عملية الأمم المتحدة	onub	PEACEKEEPERS
البعثة	monuc	PEACEKEEPERS
البعثة	minurcat	PEACEKEEPERS
بعثة الأمم المتحدة	unmis	PEACEKEEPERS
البعثة	minugua	PEACEKEEPERS
بعثة مراقبي الأمم المتحدة	onusal	PEACEKEEPERS
بعثة	unmih	PEACEKEEPERS
ungomap	ungomap	PEACEKEEPERS
بعثة الأمم المتحدة المتقدمة	unamic	PEACEKEEPERS
السلطة الانتقالية	untac	PEACEKEEPERS
بعثة مراقبي الأمم المتحدة	unmot	PEACEKEEPERS
البعثة	unamet	PEACEKEEPERS
الإدارة الانتقالية	untaet	PEACEKEEPERS
بعثة الأمم المتحدة	unmiset	PEACEKEEPERS
البعثة	unmit	PEACEKEEPERS
قوة الأمم المتحدة	unprofor	PEACEKEEPERS
البعثة	unomig	PEACEKEEPERS
انكرو	uncro	PEACEKEEPERS
البعثة	unmibh	PEACEKEEPERS
الوقائي	unpredep	PEACEKEEPERS
البعثة	unmop	PEACEKEEPERS
unyom	unyom	PEACEKEEPERS
uniimog	uniimog	PEACEKEEPERS
البعثة	unikom	PEACEKEEPERS
جمعية التأمين التعاوني	unsmis	PEACEKEEPERS
البعثة	minurso	PEACEKEEPERS
البعثة	unmil	PEACEKEEPERS
العملية	unoci	PEACEKEEPERS
يوناميد	unamid	PEACEKEEPERS
مونسوكو	monusco	PEACEKEEPERS
UNISFA	unisfa	PEACEKEEPERS
unmiss	unmiss	PEACEKEEPERS
unsmil	unsmil	PEACEKEEPERS
minusma	minusma	PEACEKEEPERS
misca	misca	PEACEKEEPERS
بعثة الأمم المتحدة	minustah	PEACEKEEPERS
فريق المراقبين العسكريين	unmogip	PEACEKEEPERS
البعثة	unama	PEACEKEEPERS
الهدنة	untso	PEACEKEEPERS
قوة مراقبة فض الاشتباك	undof	PEACEKEEPERS
اليونيفيل	unifil	PEACEKEEPERS
unificyp	unificyp	PEACEKEEPERS
فريق المراقبين	ecomog	PEACEKEEPERS
أميسوم	amisom	PEACEKEEPERS
شرطة	police	SECURITY SERVICES
الشرطي	policeman	SECURITY SERVICES
رجال الشرطة	policemen	SECURITY SERVICES
شرطية	policewoman	SECURITY SERVICES
الشرطة النسائية	policewomen	SECURITY SERVICES
الحرس الوطني	national guard	SECURITY SERVICES
الحرس الوطني	national guardsmen	SECURITY SERVICES
الحرس الوطني	national guardsman	SECURITY SERVICES
خدمات الأمن	security service	SECURITY SERVICES
الأجهزة الأمنية	security apparatus	SECURITY SERVICES
قوات الأمن	security force	SECURITY SERVICES
تطبيق القانون	law enforcement	SECURITY SERVICES
الحرس	guardsmen	SECURITY SERVICES
شرطة	constabulary	SECURITY SERVICES
شرطي	constable	SECURITY SERVICES
ضابط السلام	peace officer	SECURITY SERVICES
ضابط السلام	peaceofficer	SECURITY SERVICES
الدرك	gendarmerie	SECURITY SERVICES
الدرك	gendarmery	SECURITY SERVICES
موونتيس	mounties	SECURITY SERVICES
حركة اجتماعية	social movement	SOCIAL MOVEMENT
حركة الكتلة	mass movement	SOCIAL MOVEMENT
الحركة الشعبية	popular movement	SOCIAL MOVEMENT
حركة سياسية	political movement	SOCIAL MOVEMENT
حركة المساواة	equality movement	SOCIAL MOVEMENT
الحركة من أجل المساواة	movement for equality	SOCIAL MOVEMENT
حركة الحقوق	rights movement	SOCIAL MOVEMENT
الحركة من أجل الاعتراف بالحقوق	movement for recognition of rights	SOCIAL MOVEMENT
حركة حقوق	movement for rights	SOCIAL MOVEMENT
حركات الحقوق	rights movements	SOCIAL MOVEMENT
ناشط اجتماعي	social activist	SOCIAL MOVEMENT
حركة المعارضة	opposition movement	SOCIAL MOVEMENT
الحركة القومية	nationalist movement	NATIONAL MOVEMENT
حركة تحرر وطني	national liberation movement	NATIONAL MOVEMENT
النضال من أجل التحرير الوطني	national liberation struggle	NATIONAL MOVEMENT
حركة الحكم الذاتي	autonomy movement	NATIONAL MOVEMENT
النضال من أجل التحرر الوطني	struggle for national liberation	NATIONAL MOVEMENT
حركة التحرير الوطني	movement for national liberation	NATIONAL MOVEMENT
حركة الشباب	youth movement	YOUTH MOVEMENT
منظمة الشباب	youth organization	YOUTH MOVEMENT
منظمة شبابية	youth organisation	YOUTH MOVEMENT
الحركة العمالية	labor movement	ECONOMIC MOVEMENT
حركة العمال	worker movement	ECONOMIC MOVEMENT
نضال العمال	worker struggle	ECONOMIC MOVEMENT
نضال العمال	labor struggle	ECONOMIC MOVEMENT
النضال من أجل العمل	struggle for labor	ECONOMIC MOVEMENT
النضال من أجل عامل	struggle for worker	ECONOMIC MOVEMENT
تحتل حركة	occupy movement	ECONOMIC MOVEMENT
تحتل الحركات	occupy movements	ECONOMIC MOVEMENT
احتلوا وول ستريت	occupy wall street	ECONOMIC MOVEMENT
الحركة المناهضة العولمة	anti globalization movement	ECONOMIC MOVEMENT
حركة دينية	religious movement	RELIGIOUS MOVEMENT
ناشط المرأة	women's activist	WOMENS MOVEMENT
نشاط المرأة	women's activism	WOMENS MOVEMENT
الحركة النسائية	women's movement	WOMENS MOVEMENT
العنف المضاد ضد المرأة	anti violence against women	WOMENS MOVEMENT
المنظمات غير الحكومية النسائية	women's ngo	WOMENS MOVEMENT
المنظمات النسائية غير الحكومية	women's ngos	WOMENS MOVEMENT
حقوق المرأة	women's rights	WOMENS MOVEMENT
منظمة نسائية	women's organization	WOMENS MOVEMENT
تمكين المرأة	women's empowerment	WOMENS MOVEMENT
المساواة بين الجنسين	gender equality	WOMENS MOVEMENT
حركة التغير المناخي	climate change movement	ENVIRONMENTAL MOVEMENT
حركات التغيير المناخي	climate change movements	ENVIRONMENTAL MOVEMENT
الحركة البيئية	environmental movement	ENVIRONMENTAL MOVEMENT
البيئية	environmental movements	ENVIRONMENTAL MOVEMENT
النشاط البيئي	environmental activism	ENVIRONMENTAL MOVEMENT
ناشط بيئي	environmental activist	ENVIRONMENTAL MOVEMENT
الناشطين في مجال البيئة	environmental activists	ENVIRONMENTAL MOVEMENT
حملة بيئية	environmental campaign	ENVIRONMENTAL MOVEMENT
حركة الكائنات المعدلة وراثيا	gmo movement	ENVIRONMENTAL MOVEMENT
الحركات المعدلة وراثيا	gmo movements	ENVIRONMENTAL MOVEMENT
حركة البيئة	ecology movement	ENVIRONMENTAL MOVEMENT
حركات البيئة	ecology movements	ENVIRONMENTAL MOVEMENT
الحفاظ على البيئة	conservationists	ENVIRONMENTAL MOVEMENT
الاحترار العالمي لمكافحة	anti global warming	ENVIRONMENTAL MOVEMENT
حركة الاحترار العالمي	global warming movement	ENVIRONMENTAL MOVEMENT
ناشط ظاهرة الاحتباس الحراري	global warming activist	ENVIRONMENTAL MOVEMENT
نشطاء ظاهرة الاحتباس الحراري	global warming activists	ENVIRONMENTAL MOVEMENT
ناشط تغير المناخ	climate change activist	ENVIRONMENTAL MOVEMENT
نشطاء التغير المناخي	climate change activists	ENVIRONMENTAL MOVEMENT
حملات ضد التغير المناخي	campaigns against climate change	ENVIRONMENTAL MOVEMENT
حملة ضد تغير المناخ	campaign against climate change	ENVIRONMENTAL MOVEMENT
سجين سياسي	political prisoner	POLITICAL PRISONER
مخيم عمال	labor camp	POLITICAL PRISONER
معسكرات العمل	gulag	POLITICAL PRISONER
النازحين	displaced people	REFUGEES
المشردين	displaced person	REFUGEES
النازحين	idps	REFUGEES
لاجئ	refugee	REFUGEES
طالب لجوء	asylum seeker	REFUGEES
شخص عديم الجنسية	stateless person	REFUGEES
عديمي الجنسية	stateless people	REFUGEES
الهجرة القسرية	forced migration	REFUGEES
المهاجر القسرية	forced migrant	REFUGEES
الترحيل القسري	forced relocation	REFUGEES
النقابات	unions	LABOR UNIONS
إتحاد العمال	labor union	LABOR UNIONS
إتحاد العمال	labour union	LABOR UNIONS
اتحاد تجاري	trade union	LABOR UNIONS
الزعيم النقابي	union leader	LABOR UNIONS
قيادة الاتحاد	union leadership	LABOR UNIONS
عضو في النقابة	union member	LABOR UNIONS
عضوية الاتحاد	union membership	LABOR UNIONS
الاتحاد ستيوارد	union steward	LABOR UNIONS
مضيفات الاتحاد	union stewards	LABOR UNIONS
متجر ستيوارد	shop steward	LABOR UNIONS
ممثلي النقابات العمالية	shop stewards	LABOR UNIONS
العمل المنظم	organized labor	LABOR UNIONS
العمل المنظم	organized labour	LABOR UNIONS
العمل المنظم	organised labour	LABOR UNIONS
اتحاد العمل	work federation	LABOR UNIONS
نقابات	unionized	LABOR UNIONS
unionizing	unionizing	LABOR UNIONS
unionizes	unionizes	LABOR UNIONS
المفاوضة الجماعية	collective bargaining	LABOR UNIONS
الاتحاد الأمريكي للعمل	american federation of labor	LABOR UNIONS
أفل	afl	LABOR UNIONS
AFL CIO	afl cio	LABOR UNIONS
سائقي الشاحنات	teamsters	LABOR UNIONS
لواء عبد الله عزام	abdullah azzam brigade	NAMED TERROR GROUP
كتائب عبد الله عزام	abdullah azzam brigades	NAMED TERROR GROUP
عبد الله عزام لواء الشهيد	abdullah azzam shaheed brigade	NAMED TERROR GROUP
عبدالله عزام كتائب الشهيد	abdullah azzam shaheed brigades	NAMED TERROR GROUP
لواء عبد الرزاق جنجلاني	abdurajak janjalani brigade	NAMED TERROR GROUP
كتائب قذافي عبد الرزاق	abdurajak janjalani brigades	NAMED TERROR GROUP
كتيبة أبو بكر	abu bakar battalion	NAMED TERROR GROUP
كتائب ابو بكر	abu bakar battalions	NAMED TERROR GROUP
بأبي دجانة الأفغاني	abu dujana al afghani	NAMED TERROR GROUP
أبو دجانة أفغاني	abu dujana al afghanis	NAMED TERROR GROUP
أبو حفص المصري لواء	abu hafs al masri brigade	NAMED TERROR GROUP
أبو nayaf الأفغاني	abu nayaf al afghani	NAMED TERROR GROUP
أفغاني أبو nayaf الله	abu nayaf al afghanis	NAMED TERROR GROUP
منظمة أبو نضال	abu nidal organization	NAMED TERROR GROUP
منظمة أبو نضال	abu nidal organisation	NAMED TERROR GROUP
جماعة أبو سياف	abu sayyaf	NAMED TERROR GROUP
sayyafs أبو	abu sayyafs	NAMED TERROR GROUP
حركة أبو sihel	abu sihel movement	NAMED TERROR GROUP
accolta nazinuale كورسا	accolta nazinuale corsa	NAMED TERROR GROUP
اتشيه حركة اضطراب الأمن	aceh security disturbance movement	NAMED TERROR GROUP
المجلس الوطني التطوعي achik	achik national volunteer council	NAMED TERROR GROUP
لجنة العمل من زراع الخمر	action committee of winegrowers	NAMED TERROR GROUP
جيش عدن أبين الإسلامي	aden abyan islamic army	NAMED TERROR GROUP
جيش عدن أبين الإسلامي	aden abyan islamic army	NAMED TERROR GROUP
الجيش الإسلامي عدن	aden islamic army	NAMED TERROR GROUP
حركة المقاومة الأفريكانية	afrikaner resistance movement	NAMED TERROR GROUP
الأفرو أمريكية جيش التحرير	afro american liberation army	NAMED TERROR GROUP
ألوية الأحول الله	al ahwal brigades	NAMED TERROR GROUP
آل أهوال الأحول ألوية	al ahwal horrors brigades	NAMED TERROR GROUP
آل مؤسسة الأقصى	al aqsa foundation	NAMED TERROR GROUP
شهداء الأقصى لواء	al aqsa martyrs brigades	NAMED TERROR GROUP
آل فرقة arifeen	al arifeen squad	NAMED TERROR GROUP
المجاهدين badhr الله	al badhr mujahidin	NAMED TERROR GROUP
من المجاهدين الأفغان badhr الله	al badhr mujahidins	NAMED TERROR GROUP
البدر	al badr	NAMED TERROR GROUP
jiash ه محمد	jiash e muhammad	NAMED TERROR GROUP
جيش محمد الإلكترونية	jaish e mohammad	NAMED TERROR GROUP
جيش محمد الإلكترونية	jaish e muhammad	NAMED TERROR GROUP
جيش محمد الإلكترونية	jaish e mohammed	NAMED TERROR GROUP
الجيش الوطني الألبانية	albanian national army	NAMED TERROR GROUP
البراء بن مالك لواء	al bara bin malek brigades	NAMED TERROR GROUP
البراء بن مالك لواء الشهداء	al bara bin malek martyrs brigade	NAMED TERROR GROUP
أليخو calatayu	alejo calatayu	NAMED TERROR GROUP
لواء أليكس boncayao	alex boncayao brigade	NAMED TERROR GROUP
الفاران	al faran	NAMED TERROR GROUP
لواء الفاروق	al faruq brigade	NAMED TERROR GROUP
الفتح انتفاضة	al fatah uprising	NAMED TERROR GROUP
آل fuqra	al fuqra	NAMED TERROR GROUP
آل لواء الفرسان	al fursan brigade	NAMED TERROR GROUP
آل غاما والجماعة الإسلامية	al gama a al islamiyya	NAMED TERROR GROUP
آل جماع الجماعة الإسلامية	al gamaa al islamiyya	NAMED TERROR GROUP
آل غاما على آل islamiyyas	al gama a al islamiyyas	NAMED TERROR GROUP
آل islamiyyas جماع الله	al gamaa al islamiyyas	NAMED TERROR GROUP
آل gamat الله الإسلامية	al gamat al islamiya	NAMED TERROR GROUP
آل islamiyas gamat الله	al gamat al islamiyas	NAMED TERROR GROUP
آل الغرباء	al ghurabaa	NAMED TERROR GROUP
آل الحركة الإسلامية الإسلامية	al harakat al islamiyah	NAMED TERROR GROUP
آل مؤسسة الحرمين	al haramain foundation	NAMED TERROR GROUP
لواء الحرمين	al haramayn brigade	NAMED TERROR GROUP
كتيبة الحسن البصري	al hassan al basri battalion	NAMED TERROR GROUP
آل حزب وسوري آل قومي مدرسة آل ijtimaee	al hizb a suri al qawmi al ijtimaee	NAMED TERROR GROUP
آل المجاهدين الاسلام حزب	al hizb ul islam	NAMED TERROR GROUP
أليانسا libertadora ناسيونال	alianca libertadora nacional	NAMED TERROR GROUP
الإمام الحسن البصري لواء	al imam al hassan al basri brigade	NAMED TERROR GROUP
آل intiqami باكستاني	al intiqami al pakistani	NAMED TERROR GROUP
كتائب الإسلامبولي الله	al islambouli brigades	NAMED TERROR GROUP
كتائب الإسلامبولي من تنظيم القاعدة	al islambouli brigades of al qaeda	NAMED TERROR GROUP
كتائب الإسلامبولي من تنظيمات القاعدة آل	al islambouli brigades of al qaedas	NAMED TERROR GROUP
أنصار بيت المقدس	ansar beit al maqdis	NAMED TERROR GROUP
الأنصار بيت المقدس	ansar bait al maqdis	NAMED TERROR GROUP
المجلس الجمهوري مومباسا	mombasa republican council	NAMED TERROR GROUP
لواء الإسلامبولي	al islambouli brigade	NAMED TERROR GROUP
آل الاتحاد الإسلامي	al itihaad al islamiya	NAMED TERROR GROUP
الاتحاد الاسلامي آل islamiyas	al itihaad al islamiyas	NAMED TERROR GROUP
آل ittihaad الإسلامي	al ittihaad al islami	NAMED TERROR GROUP
ittihaad آل islamis	al ittihaad al islamis	NAMED TERROR GROUP
دولة العراق الإسلامية	islamic state of iraq	NAMED TERROR GROUP
إعلان dawla الجماعة الإسلامية فاي العراق وا ش صورية	ad dawla al islamiyya fi al irāq wa sh sham	NAMED TERROR GROUP
آل جبهه dimuqratiyya لى التحرير فرع فلسطين	al jabha al dimuqratiyya li tahrir filastin	NAMED TERROR GROUP
آل جبهه الرماد القناة أمرا لى التحرير فرع فلسطين	al jabha ash shaabiya li tahrir falastin	NAMED TERROR GROUP
آل ثنائية ليبيا جامع آل إسلامية آل muqatilah	al jamaa al islamiyyah al muqatilah bi libya	NAMED TERROR GROUP
آل الجماعة الإسلامية آل المصلى	al jamaah al islamiyah al musallah	NAMED TERROR GROUP
آل الجماعة آل الاسلامية آل musallahs	al jamaah al islamiyah al musallahs	NAMED TERROR GROUP
الجهاد	al jihad	NAMED TERROR GROUP
آل الجهاد الإسلامي	al jihad al islami	NAMED TERROR GROUP
جميع بورما طلاب الجبهة الديمقراطية	all burma students democratic front	NAMED TERROR GROUP
المتحالفة مع القوى الديمقراطية	allied democratic forces	NAMED TERROR GROUP
كل لجنة الجهاد الهند	all india jihad committee	NAMED TERROR GROUP
كل تريبورا قوة النمر	all tripura tiger force	NAMED TERROR GROUP
كل تريبورا القوة القبلية	all tripura tribal force	NAMED TERROR GROUP
مجموعة المدينه	al madina group	NAMED TERROR GROUP
مجموعة المدينة المنورة	al madinah group	NAMED TERROR GROUP
المدينة المنورة فوج	al madina regiment	NAMED TERROR GROUP
آل mansoorain	al mansoorain	NAMED TERROR GROUP
مجموعة المدينة المنورة الله	al medina group	NAMED TERROR GROUP
آل نواز	al nawaz	NAMED TERROR GROUP
المجاهدين آل عمر	al omar mujahideen	NAMED TERROR GROUP
القاعدة	al qaeda	NAMED TERROR GROUP
تنظيم القاعدة في العراق	al qaeda in iraq	NAMED TERROR GROUP
تنظيم القاعدة في شبة الجزيرة العربية	al qaeda in the arabian peninsula	NAMED TERROR GROUP
تنظيم القاعدة في شبة الجزيرة العربية	al qaida in the arabian peninsula	NAMED TERROR GROUP
تنظيم القاعدة في شبة الجزيرة العربية	al qa'ida in the arabian peninsula	NAMED TERROR GROUP
القاعدة في جزيرة العرب	aqap	NAMED TERROR GROUP
تنظيم القاعدة في بلاد المغرب الإسلامي	al qaeda in the islamic maghreb	NAMED TERROR GROUP
تنظيم القاعدة في بلاد المغرب الإسلامي	al qa‘ida in the lands of the islamic maghreb	NAMED TERROR GROUP
تنظيم القاعدة في بلاد المغرب الإسلامي	al qaida in the lands of the islamic maghreb	NAMED TERROR GROUP
تنظيم القاعدة في بلاد المغرب الإسلامي	al qaeda in the lands of the islamic maghreb	NAMED TERROR GROUP
تنظيم القاعدة في بلاد الرافدين	al qaeda in mesopotamia	NAMED TERROR GROUP
القاعدة ببلاد المغرب الإسلامي	aqim	NAMED TERROR GROUP
الجماعة السلفية للدعوة والقتال	salafist group for preaching and combat	NAMED TERROR GROUP
مجموعة السلفيين صب لا الاسناد وآخرون جنيه المقاتلة	groupe salafiste pour la predication et le combat	NAMED TERROR GROUP
قاعدة الجهاد فاي بلاد المغرب الإسلامي	qaedat al jihad ﬁ bilad al maghrib al islami	NAMED TERROR GROUP
تنظيم القاعدة	al qaeda organization	NAMED TERROR GROUP
تنظيم القاعدة	al qaida	NAMED TERROR GROUP
تنظيم القاعدة في سوريا	al qaida in syria	NAMED TERROR GROUP
تنظيم القاعدة في مصر	al qaida in egypt	NAMED TERROR GROUP
آل qanoon	al qanoon	NAMED TERROR GROUP
لواء الصدر	al sadr brigade	NAMED TERROR GROUP
حركة الشباب	al shabaab	NAMED TERROR GROUP
شرم الشباب	el shabaab	NAMED TERROR GROUP
التوحيد	al tawhid	NAMED TERROR GROUP
المجاهدين عمر حسن	al umar mujahideen	NAMED TERROR GROUP
آل الأمة	al umma	NAMED TERROR GROUP
كل لجنة الجهاد الهند	all india jihad committee	NAMED TERROR GROUP
شبكة الزرقاوي	al zarqawi network	NAMED TERROR GROUP
آل ذو الفقار	al zulfikar	NAMED TERROR GROUP
فصيل الأناركي	anarchist faction	NAMED TERROR GROUP
فصيل فوضوي للتخريب	anarchist faction for subversion	NAMED TERROR GROUP
لواء التحرير الفوضوي	anarchist liberation brigade	NAMED TERROR GROUP
دورية الشارع الفوضوية	anarchist street patrol	NAMED TERROR GROUP
وحد اندريس كاسترو أمام	andres castro united front	NAMED TERROR GROUP
حيوان جبهة التحرير	animal liberation front	NAMED TERROR GROUP
أنجومان فرسان الصحابة ه	anjuman sipah e sahaba	NAMED TERROR GROUP
أنجومان sahabas فرسان ه	anjuman sipah e sahabas	NAMED TERROR GROUP
أنصار الدين	ansar al din	NAMED TERROR GROUP
جماعة أنصار الإسلام	ansar al islam	NAMED TERROR GROUP
أنصار الجهاد	ansar al jihad	NAMED TERROR GROUP
أنصار الله	ansar allah	NAMED TERROR GROUP
الأنصار allahs	ansar allahs	NAMED TERROR GROUP
أنصار أوروبا القاعدة	ansar al qaeda europe	NAMED TERROR GROUP
أوروبا أنصار القاعدة	ansar al qaeda europes	NAMED TERROR GROUP
أنصار الشريعة	ansar al sharia	NAMED TERROR GROUP
جماعة أنصار السنة الجيش	ansar al sunnah army	NAMED TERROR GROUP
أنصار الدين	ansar dine	NAMED TERROR GROUP
ansaru	ansaru	NAMED TERROR GROUP
مكافحة عرب امريكا جبهة التحرير	anti american arab liberation front	NAMED TERROR GROUP
منظمة مناهضة الأرمنية	anti armenian organization	NAMED TERROR GROUP
مكافحة نوى هجوم الرأسمالية	anti capitalist attack nuclei	NAMED TERROR GROUP
خلية مكافحة الامبريالية	anti imperialist cell	NAMED TERROR GROUP
مكافحة واء الدولي الإمبريالي	anti imperialist international brigade	NAMED TERROR GROUP
مكافحة نوى الإقليمية الإمبريالية	anti imperialist territorial nuclei	NAMED TERROR GROUP
المضادة مجموعة إرهابية التحرير	anti terrorist liberation group	NAMED TERROR GROUP
الحركة المناهضة الصهيونية	anti zionist movement	NAMED TERROR GROUP
الصقور الانتقام APO ل	apo's revenge hawks	NAMED TERROR GROUP
apo'nun intikam SAHINLER	apo'nun intikam sahinler	NAMED TERROR GROUP
شباب الثأر لواء APO ل	apo's youth revenge brigade	NAMED TERROR GROUP
19 أبريل الحركة	april 19 movement	NAMED TERROR GROUP
المنظمة الشيوعية العربية	arab communist organization	NAMED TERROR GROUP
الحزب الثوري الشيوعي موقع	arab communist revolutionary party	NAMED TERROR GROUP
جبهة تحرير العرب	arab liberation front	NAMED TERROR GROUP
منظمة الشباب القومي العربي	arab national youth organization	NAMED TERROR GROUP
لواء الثوري موقع	arab revolutionary brigade	NAMED TERROR GROUP
المجلس الثوري لموقع	arab revolutionary council	NAMED TERROR GROUP
armata كورسا	armata corsa	NAMED TERROR GROUP
armata دي liberazione naziunale	armata di liberazione naziunale	NAMED TERROR GROUP
مجموعة البربرية المسلحة	armed berber group	NAMED TERROR GROUP
المقاتلين الشيوعي المسلح	armed communist combatants	NAMED TERROR GROUP
الدوري الشيوعي المسلح	armed communist league	NAMED TERROR GROUP
القوات المسلحة تحرر وطني	armed forces of national liberation	NAMED TERROR GROUP
القوات المسلحة المقاومة الوطنية	armed forces of national resistance	NAMED TERROR GROUP
الجماعة الإسلامية المسلحة	armed islamic group	NAMED TERROR GROUP
الجماعة الإسلامية المسلحة	armed islamic group of algeria	NAMED TERROR GROUP
الجماعات الإسلامية المسلحة	armed islamic groups	NAMED TERROR GROUP
فصيل ثوري وطني المسلح	armed nationalist revolutionary faction	NAMED TERROR GROUP
العمل الثوري المسلح	armed revolutionary action	NAMED TERROR GROUP
اليسار الثوري المسلح	armed revolutionary left	NAMED TERROR GROUP
ARMEE الإسلامية للإنقاذ	armee islamique du salut	NAMED TERROR GROUP
الجيش الأحمر الأرمني	armenian red army	NAMED TERROR GROUP
[أرمس] حمراء الأرمنية	armenian red armys	NAMED TERROR GROUP
مجموعة المقاومة الأرمنية	armenian resistance group	NAMED TERROR GROUP
الجيش الثوري الأرمني	armenian revolutionary army	NAMED TERROR GROUP
جيش الله	army of god	NAMED TERROR GROUP
جيش الإسلام	army of islam	NAMED TERROR GROUP
جيش الخلاص الإسلامي	army of islamic salvation	NAMED TERROR GROUP
جيش جنجوي	army of jhangvi	NAMED TERROR GROUP
جيش محمد	army of mohammed	NAMED TERROR GROUP
جيش محمد	army of muhammed	NAMED TERROR GROUP
جيش التحرير الوطني	army of national liberation	NAMED TERROR GROUP
جيش الشام	army of the levant	NAMED TERROR GROUP
الجيش النبي	army of the prophet	NAMED TERROR GROUP
جيش نقية	army of the pure	NAMED TERROR GROUP
الجيش الصالحين	army of the righteous	NAMED TERROR GROUP
قيادة الكامو أرنولدو	arnoldo camu command	NAMED TERROR GROUP
مشعلي الحرائق الضمير	arsonists of conscience	NAMED TERROR GROUP
الأمة الآرية	aryan nation	NAMED TERROR GROUP
الجيش الجمهوري الآري	aryan republican army	NAMED TERROR GROUP
الجيش المقاومة الآرية	aryan resistance army	NAMED TERROR GROUP
عصائب أهل الحق	asaib ahl al haq	NAMED TERROR GROUP
عصبة الأنصار	asbat al ansar	NAMED TERROR GROUP
جمعية التضامن لوجهات النظر	association for solidarity perspectives	NAMED TERROR GROUP
جمعية العمال الثوري	association of revolutionary workers	NAMED TERROR GROUP
23 أغسطس الحركة	august 23 movement	NAMED TERROR GROUP
اوم أليف	aum aleph	NAMED TERROR GROUP
الحقيقة العليا اوم	aum supreme truth	NAMED TERROR GROUP
أوم شينريكيو	aum shinrikyo	NAMED TERROR GROUP
shinsen اوم	aum shinsen	NAMED TERROR GROUP
اوم كيو shinri	aum shinri kyo	NAMED TERROR GROUP
autonomia الأيسر انتي parlamentare	autonomia sinistra ante parlamentare	NAMED TERROR GROUP
خلية مستقلة من عمل المتمردين	autonomous cell of rebel action	NAMED TERROR GROUP
سينا هند آزاد	azad hind sena	NAMED TERROR GROUP
بادر ماينهوف عصابة	baader meinhof gang	NAMED TERROR GROUP
مجموعة ماينهوف بادر ل	baader meinhof group	NAMED TERROR GROUP
بابار خالصا	babbar khalsa	NAMED TERROR GROUP
بابار خالصا الدولية	babbar khalsa international	NAMED TERROR GROUP
قوات بدر	badr forces	NAMED TERROR GROUP
كتيبة bagramyan	bagramyan battalion	NAMED TERROR GROUP
بلوشستان جيش التحرير	balochistan liberation army	NAMED TERROR GROUP
جيش التحرير البلوشي	baloch liberation army	NAMED TERROR GROUP
بلوشستان جيش التحرير	baluchistan liberation army	NAMED TERROR GROUP
ريفولوسي باريسان ناسيونال ملايو باتاني	barisan revolusi nasional melayu pattani	NAMED TERROR GROUP
وطن الباسك والحرية	basque fatherland and freedom	NAMED TERROR GROUP
وطن الباسك والحرية	basque fatherland and liberty	NAMED TERROR GROUP
وطن الباسك والحرية	basque homeland and freedom	NAMED TERROR GROUP
جيش التحرير بافاريا	bavarian liberation army	NAMED TERROR GROUP
قوة النمر بوتان	bhutan tiger force	NAMED TERROR GROUP
الحزب الشيوعي biplobi	biplobi communist party	NAMED TERROR GROUP
بيرسا قوة كوماندوس	birsa commando force	NAMED TERROR GROUP
لواء أسود من لبنان	black brigade of lebanon	NAMED TERROR GROUP
جيش التحرير الأسود	black liberation army	NAMED TERROR GROUP
الفهد الأسود	black panther	NAMED TERROR GROUP
أسود فريق الهجوم الثوري	black revolutionary assault team	NAMED TERROR GROUP
بودو قوة النمر التحرير	bodo liberation tiger force	NAMED TERROR GROUP
نمور تحرير بودو	bodo liberation tigers	NAMED TERROR GROUP
قوات الأمن بودو	bodo security force	NAMED TERROR GROUP
