agencyName,continentName,countryCode,countryName,dateUSGSignature,emergencyTypeName,projectCode,projectID,projectTitle,regionName,tableName,totalAmountApproved,windowFullName,year,projectsectors,projectclusters,projectgroupings,projectcapcodes
"United Nations Children’s Fund",Africa,SSD,"South Sudan",2012-07-17,Displacement,12-CEF-079,3507,"Emergency Immunization and Primary Health Care Support to Refugees","Eastern Africa",M,574647.0,"Rapid Response",2012,Health,Health,"",""
"United Nations Children’s Fund",Africa,SSD,"South Sudan",2012-07-17,Displacement,12-CEF-080,3508,"Provision of education in emergencies supplies to refugees in  Maban and Yida","Eastern Africa",M,612441.0,"Rapid Response",2012,Education,Education,"",""
"United Nations High Commissioner for Refugees",Africa,SSD,"South Sudan",2012-07-17,Displacement,12-HCR-036,3511,"Protection of refugees and asylum seekers in South Sudan","Eastern Africa",M,10031250.0,"Rapid Response",2012,"Multi-sector ",Multi-Cluster,"",""
"United Nations Children’s Fund",Africa,SSD,"South Sudan",2012-07-17,Displacement,12-CEF-081,3509,"Protecting Refugees boys and girls affected by conflict in Upper Nile and Unity States","Eastern Africa",M,598898.0,"Rapid Response",2012,Protection,Protection,"",""
"United Nations Population Fund",Africa,SSD,"South Sudan",2012-07-16,Displacement,12-FPA-032,3510,"Scaling up Minimum Initial Service Package (MISP) for Sexual and Reproductive Health (SRH) including HIV and GBV for Refugees in South Sudan","Eastern Africa",M,227929.0,"Rapid Response",2012,Health,Health,"",""
"International Organization for Migration",Africa,SSD,"South Sudan",2012-07-17,Displacement,12-IOM-020,3513,"Common transport service for refugees","Eastern Africa",M,969420.0,"Rapid Response",2012,"Common Logistics",Logistics,"",""
"International Organization for Migration",Africa,SSD,"South Sudan",2012-07-17,Displacement,12-IOM-019,3512,"WASH assistance to refugee population in Upper Nile State, South Sudan","Eastern Africa",M,1067774.0,"Rapid Response",2012,"Water, Sanitation and Hygiene","Water Sanitation Hygiene","",""
"United Nations Children’s Fund",Africa,COG,"Republic of Congo",2012-03-30,Displacement,12-CEF-016-A,3296,"Elargissement de la couverture sanitaire des groupes les plus vulnérables en situation humanitaire dans la Likouala
","Middle Africa",M,398552.0,"Underfunded Emergencies",2012,Health,Health,"",""
"United Nations Children’s Fund",Africa,COG,"Republic of Congo",2012-03-29,Displacement,12-CEF-016-B,3297,"Soutien psychosocial aux enfants victimes de violences et de maltraitance
","Middle Africa",M,193456.0,"Underfunded Emergencies",2012,Protection,Protection,"",""
"United Nations Children’s Fund",Africa,COG,"Republic of Congo",2012-03-27,Displacement,12-CEF-016-C,3298,"Elargissement de la couverture sanitaire des groupes les plus vulnérables en situation humanitaire dans la Likouala
","Middle Africa",M,591543.0,"Underfunded Emergencies",2012,"Water, Sanitation and Hygiene","Water Sanitation Hygiene","",""
"Food and Agriculture Organization",Africa,COG,"Republic of Congo",2012-03-26,Displacement,12-FAO-012,3299,"Projet d’appui à la sécurité alimentaire de la population des réfugiés et locale de la Likouala
","Middle Africa",M,119999.0,"Underfunded Emergencies",2012,Agriculture,"Food Security","",""
"United Nations High Commissioner for Refugees",Africa,COG,"Republic of Congo",2012-03-30,Displacement,12-HCR-018,3303,"Réponse à l’épidémie de choléra dans le Département de Liranga
","Middle Africa",M,299660.0,"Underfunded Emergencies",2012,Health,Health,"",""
"World Health Organization",Africa,COG,"Republic of Congo",2012-03-29,Displacement,12-WHO-018,3305,"Amélioration de l’accès aux paquets de soins et services essentiels de santé pour la survie des groupes vulnérables dans les populations du département de la Likouala (République du Congo)
","Middle Africa",M,211237.0,"Underfunded Emergencies",2012,Health,Health,"",""
"United Nations Children’s Fund",Africa,COG,"Republic of Congo",2012-04-23,"Other geophysical emergency",12-CEF-035,3379,"Réponse à l’urgence créée par les explosions d’engins de guerre à Brazzaville
","Middle Africa",M,434925.0,"Rapid Response",2012,Shelter,"Emergency Shelter and NFI","",""
"United Nations Population Fund",Africa,COG,"Republic of Congo",2012-03-30,Displacement,12-FPA-014,3308,"Amélioration de l’accès aux services de santé de la reproduction y compris les soins obstétricaux et néonataux d’urgence pour les réfugiés","Middle Africa",M,325000.0,"Underfunded Emergencies",2012,Health,Health,"",""
"United Nations Children’s Fund",Africa,COG,"Republic of Congo",2012-04-23,"Other geophysical emergency",12-CEF-037,3381,"Réponse à l’urgence créée par les explosions d’engins de guerre à Brazzaville
","Middle Africa",M,312542.0,"Rapid Response",2012,"Water, Sanitation and Hygiene","Water Sanitation Hygiene","",""
"United Nations Population Fund",Africa,COG,"Republic of Congo",2012-03-29,Displacement,12-FPA-012,3300,"Prévention des violences basées sur le genre (GBV) et prise en charge médicale et psychosociale des victimes/survivants de GBV
","Middle Africa",M,235000.0,"Underfunded Emergencies",2012,Protection,Protection,"",""
"United Nations High Commissioner for Refugees",Africa,COG,"Republic of Congo",2012-04-05,Displacement,12-HCR-012,3301,"Prise en Charge légale des victimes de SGVB
","Middle Africa",M,261808.0,"Underfunded Emergencies",2012,Protection,Protection,"",""
"United Nations Children’s Fund",Africa,COG,"Republic of Congo",2012-04-23,"Other geophysical emergency",12-CEF-038,3382,"Education des enfants déplacés dans la ville de Brazzaville des suites des explosions d’armes
","Middle Africa",M,735684.0,"Rapid Response",2012,Education,Education,"",""
"United Nations Children’s Fund",Africa,COG,"Republic of Congo",2012-04-27,"Other geophysical emergency",12-CEF-040,3384,"Appui psychosocial aux enfants affectés et autres victimes en situation post- explosions à Brazzaville (enfants traumatisés, blessés, malades hospitalisés, enfants non accompagnés, élèves traumatisés, espaces conviviaux pour enfants)
","Middle Africa",M,452736.0,"Rapid Response",2012,Protection,Protection,"",""
"United Nations Children’s Fund",Africa,COG,"Republic of Congo",2012-04-25,"Other geophysical emergency",12-CEF-041,3385,"Réponse à l’urgence sanitaire créée par les explosions d’engins de guerre à Brazzaville
","Middle Africa",M,400901.0,"Rapid Response",2012,Health,Health,"",""
"United Nations Population Fund",Africa,COG,"Republic of Congo",2012-04-26,"Other geophysical emergency",12-FPA-020,3386,"Enregistrement et profilage des personnes déplacées internes de Brazzaville
","Middle Africa",M,45210.0,"Rapid Response",2012,Protection,Protection,"",""
"United Nations Population Fund",Africa,COG,"Republic of Congo",2012-04-26,"Other geophysical emergency",12-FPA-021,3387,"Prévention des violences basées sur le genre (GBV) et prise en charge médicale et psychosociale des victimes/survivants de GBV
","Middle Africa",M,121685.0,"Rapid Response",2012,Protection,Protection,"",""
"World Food Programme",Africa,COG,"Republic of Congo",2012-04-26,"Other geophysical emergency",12-WFP-034,3389,"Assistance alimentaire aux victimes des  explosions du 04 mars à Brazzaville 
","Middle Africa",M,1073330.0,"Rapid Response",2012,"Food Aid","Food Security","",""
"United Nations Population Fund",Africa,COG,"Republic of Congo",2012-04-23,"Other geophysical emergency",12-FPA-022,3388,"Amélioration de l’accès aux services de santé de la reproduction y compris les soins obstétricaux et néonataux d’urgence pour les personnes déplacées internes
","Middle Africa",M,173833.0,"Rapid Response",2012,Health,Health,"",""
"World Food Programme",Africa,COG,"Republic of Congo",2012-04-26,"Other geophysical emergency",12-WFP-035,3390,"Renforcement des capacités logistiques du Gouvernement
","Middle Africa",M,163597.0,"Rapid Response",2012,"Common Logistics",Logistics,"",""
"World Health Organization",Africa,COG,"Republic of Congo",2012-04-23,"Other geophysical emergency",12-WHO-031,3391,"Réponse sanitaire aux situations d’urgences complexes suite à la catastrophe post explosion du dépôt de munition et d’arme de Mpila à Brazzaville 
","Middle Africa",M,336434.0,"Rapid Response",2012,Health,Health,"",""
"United Nations Development Programme",Africa,COG,"Republic of Congo",2012-04-26,"Other geophysical emergency",12-UDP-005,3393,"Installation des 1,500 familles sinistrées suite aux explosions du magasin d'armes et minutions de Mpila
","Middle Africa",M,758309.0,"Rapid Response",2012,Shelter,"Emergency Shelter and NFI","",""
"United Nations Educational Scientific and Cultural Organization",Africa,COG,"Republic of Congo",2012-04-26,"Other geophysical emergency",12-ESC-002,3394,"Appui Psychosocial aux Elèves Affectés par la Catastrophe de Brazzaville à travers la Formation des Enseignants(République du Congo)
","Middle Africa",M,180310.0,"Rapid Response",2012,Protection,Protection,"",""
"United Nations Office for Project Services",Africa,COG,"Republic of Congo",2012-04-25,"Other geophysical emergency",12-OPS-001,3396,"Coordination of Emergency Clearance of Unexploded Ordnance in the impact zone, Mpila, Brazzaville
","Middle Africa",M,1354299.0,"Rapid Response",2012,"Mine Action","Mine Action","",""
"United Nations Children’s Fund",Africa,COG,"Republic of Congo",2012-04-25,"Other geophysical emergency",12-CEF-036,3380,"Réponse à l’urgence nutritionnelle créée par les explosions d’engins de guerre à Brazzaville
","Middle Africa",M,453704.0,"Rapid Response",2012,Nutrition,Nutrition,"",""
"United Nations High Commissioner for Refugees",Africa,COG,"Republic of Congo",2012-03-30,Displacement,12-HCR-013,3302,"Projet d’approvisionnement en eau potable, de la promotion d’hygiène et de l’assainissement
","Middle Africa",M,301847.0,"Underfunded Emergencies",2012,"Water, Sanitation and Hygiene","Water Sanitation Hygiene","",""
"World Food Programme",Africa,COG,"Republic of Congo",2012-03-27,Displacement,12-WFP-022,3304,"Assistance to Congolese Refugees from the Democratic Republic of the Congo in the Likouala Province of the Republic of the Congo 
","Middle Africa",M,982576.0,"Underfunded Emergencies",2012,"Food Aid","Food Security","",""
"United Nations Children’s Fund",Africa,CMR,Cameroon,2012-02-27,Drought,12-CEF-005,3193,"Cameroon Lifesaving Emergency Nutrition Response for population affected by Sahel humanitarian crisis in the Extreme North and North Regions","Middle Africa",M,859870.0,"Rapid Response",2012,Nutrition,Nutrition,"",""
"United Nations High Commissioner for Refugees",Africa,SSD,"South Sudan",2012-02-27,Displacement,12-HCR-003,3189,"Protection of refugees and asylum seekers in South Sudan ","Eastern Africa",M,3010721.0,"Underfunded Emergencies",2012,"Multi-sector ",Multi-Cluster,"",""
"Food and Agriculture Organization",Africa,SSD,"South Sudan",2012-02-24,Displacement,12-FAO-002,3190,"Enhancing food security of returnees, IDPs and vulnerable host communities through provision of appropriate production inputs, technologies and services","Eastern Africa",M,3003480.0,"Underfunded Emergencies",2012,Agriculture,"Food Security","",""
"World Health Organization",Africa,SSD,"South Sudan",2012-02-24,Displacement,12-WHO-005,3191,"Strengthen epidemic response capacity in high risk areas in South Sudan","Eastern Africa",M,2199991.0,"Underfunded Emergencies",2012,Health,Health,"",""
"World Food Programme",Africa,SSD,"South Sudan",2012-07-17,Displacement,12-WFP-050,3514,"Emergency Food Assistance for  refugees in South Sudan","Eastern Africa",M,4397966.0,"Rapid Response",2012,"Food Aid","Food Security","",""
"United Nations Children’s Fund",Africa,RWA,Rwanda,2012-06-04,Displacement,12-CEF-071,3480,"Protection and emergency response to the refugee influx to Rwanda","Eastern Africa",M,629017.0,"Rapid Response",2012,"Water, Sanitation and Hygiene","Water Sanitation Hygiene","",""
"World Food Programme",Africa,RWA,Rwanda,2012-06-04,Displacement,12-WFP-045,3482,"Emergency Assistance to new Congolese refugees in Rwanda","Eastern Africa",M,694737.0,"Rapid Response",2012,"Food Aid","Food Security","",""
"World Health Organization",Africa,RWA,Rwanda,2012-06-08,Displacement,12-WHO-043,3483,"Health emergency assistance to new Congolese refugees in Rwanda for the prevention and control of diseases","Eastern Africa",M,218950.0,"Rapid Response",2012,Health,Health,"",""
"Food and Agriculture Organization",Africa,CMR,Cameroon,2012-02-27,Drought,12-FAO-003,3194,"Supply of inputs to vulnerable people in the Logone-and-Chari division in the Far North Region of Cameroon","Middle Africa",M,611011.0,"Rapid Response",2012,Agriculture,"Food Security","",""
"World Food Programme",Africa,CMR,Cameroon,2012-03-01,Drought,12-WFP-007,3195,"Food assistance to drought-affected households and acute malnourished groups in Logone-and-Chari division in the Far-North Region (Cameroon)","Middle Africa",M,2749805.0,"Rapid Response",2012,"Food Aid","Food Security","",""
"United Nations Children’s Fund",Africa,CMR,Cameroon,2012-09-05,Displacement,12-CEF-110,3614,"Strengthening management of severe acute malnutrition of children under five (refugees and host) in East and Adamaoua regions","Middle Africa",M,297432.0,"Underfunded Emergencies",2012,Nutrition,Nutrition,"",""
"United Nations High Commissioner for Refugees",Africa,CMR,Cameroon,2012-09-05,Displacement,12-HCR-046,3615,"International protection and Humanitarian  Assistance to CAR refugees","Middle Africa",M,899999.0,"Underfunded Emergencies",2012,"Multi-sector ",Multi-Cluster,"",""
"World Food Programme",Africa,CMR,Cameroon,2012-10-05,Flood,12-WFP-069,3632,"Food assistance to Flood-Affected Populations in the North and Far North Regions of Cameroon","Middle Africa",M,599906.0,"Rapid Response",2012,"Food Aid","Food Security","",""
"World Health Organization",Africa,CMR,Cameroon,2012-10-05,Flood,12-WHO-070,3633,"Medical Assistance to Victims of Flood in the North and Far North Regions","Middle Africa",M,899999.0,"Rapid Response",2012,Health,Health,"",""
"United Nations High Commissioner for Refugees",Africa,RWA,Rwanda,2012-06-04,Displacement,12-HCR-033,3481,"Protection and assistance to newly arrived Congolese Refugees in Rwanda","Eastern Africa",M,1534378.0,"Rapid Response",2012,Shelter,"Emergency Shelter and NFI","",""
"United Nations Children’s Fund",Africa,AGO,Angola,2012-06-21,Drought,12-CEF-072,3484,"Lifesaving nutrition interventions in 3 most drought affected provinces in Angola","Middle Africa",M,3352207.0,"Rapid Response",2012,Nutrition,Nutrition,"",""
"Food and Agriculture Organization",Africa,AGO,Angola,2012-06-21,Drought,12-FAO-026,3485,"Life Saving interventions on food security and nutrition  in three provinces ","Middle Africa",M,997873.0,"Rapid Response",2012,Agriculture,"Food Security","",""
"World Health Organization",Africa,AGO,Angola,2012-06-21,Drought,12-WHO-044,3486,"Lifesaving nutrition interventions in 3 most drought affected provinces in Angola","Middle Africa",M,752052.0,"Rapid Response",2012,Nutrition,Nutrition,"",""
"World Health Organization",Africa,CMR,Cameroon,2012-01-17,"Other health emergency",12-WHO-002,3169,"Riposte à l’épidémie de fièvre jaune dans la région du Nord
Cameroun","Middle Africa",M,2003280.0,"Rapid Response",2012,Health,Health,"",""
"World Health Organization",Africa,CMR,Cameroon,2012-03-16,Drought,12-WHO-026,3353,"Medical assistance to populations affected by the Humanitarian crisis in the Far North and Northern regions of Cameroon
","Middle Africa",M,578236.0,"Rapid Response",2012,Health,Health,"",""
"United Nations Children’s Fund",Africa,COD,"Democratic Republic of the Congo",2012-01-24,Cholera,12-CEF-001,3167,"Cholera Response for WASH Activities, eastern & western DRC, 2012","Middle Africa",M,4405190.0,"Rapid Response",2012,"Water, Sanitation and Hygiene","Water Sanitation Hygiene","",""
"World Health Organization",Africa,COD,"Democratic Republic of the Congo",2012-01-24,Cholera,12-WHO-001,3168,"Cholera Response for Health Activities, eastern & western DRC, 2012","Middle Africa",M,4693057.0,"Rapid Response",2012,Health,Health,"",""
"United Nations Children’s Fund",Africa,COD,"Democratic Republic of the Congo",2012-07-30,Displacement,12-CEF-076,3499,"Réponse Rapide aux mouvements de populations dans les provinces du Nord et la partie Nord Kivu en matière de NFI, Wash et Nutrition","Middle Africa",M,2271600.0,"Rapid Response",2012,"Multi-sector ",Multi-Cluster,"",""
"Food and Agriculture Organization",Africa,COD,"Democratic Republic of the Congo",2012-07-26,Displacement,12-FAO-028,3500,"Réponse rapide aux besoins de sécurité alimentaire des populations récemment déplacées et affectées suite aux affrontements dans le Nord-Kivu","Middle Africa",M,1000000.0,"Rapid Response",2012,Agriculture,"Food Security","",""
"United Nations High Commissioner for Refugees",Africa,COD,"Democratic Republic of the Congo",2012-07-27,Displacement,12-HCR-035,3501,"Renforcement du monitoring de protection","Middle Africa",M,201390.0,"Rapid Response",2012,Protection,Protection,"",""
"World Food Programme",Africa,COD,"Democratic Republic of the Congo",2012-07-26,Displacement,12-WFP-048,3502,"Emergency food assistance to newly displaced people in North Kivu and spillover into South Kivu (Kalehe and Kabare territories)","Middle Africa",M,4549794.0,"Rapid Response",2012,"Food Aid","Food Security","",""
"World Food Programme",Africa,COD,"Democratic Republic of the Congo",2012-07-24,Displacement,12-WFP-049,3503,"Appui a l'achemimenement de l'aide humanitaire d'urgence au Nord - Kivu et faciliter l'acces humanitaire par la re-ouverture des axes routiers prioritaires","Middle Africa",M,867567.0,"Rapid Response",2012,"Common Logistics",Logistics,"",""
"World Health Organization",Africa,COD,"Democratic Republic of the Congo",2012-07-26,Displacement,12-WHO-047,3504,"Améliorer l’accès aux soins de base et d’urgence  aux populations déplacées dans les  zones de santé des provinces du Nord Kivu et du  Sud Kivu suites aux conflits armés","Middle Africa",M,987629.0,"Rapid Response",2012,Health,Health,"",""
"United Nations Children’s Fund",Africa,COD,"Democratic Republic of the Congo",2012-09-20,Displacement,12-CEF-107,3595,"Prise en charge de la malnutrition aigüe sévère au Katanga et Sud Kivu","Middle Africa",M,3999986.0,"Underfunded Emergencies",2012,Nutrition,Nutrition,"",""
"World Food Programme",Africa,COD,"Democratic Republic of the Congo",2012-09-19,Displacement,12-WFP-063,3596,"Nyunzu-Manono Road rehabilitation","Middle Africa",M,499893.0,"Underfunded Emergencies",2012,"Common Logistics",Logistics,"",""
"World Food Programme",Africa,COD,"Democratic Republic of the Congo",2012-09-28,Displacement,12-WFP-064,3597,"Blanket Supplementary Feeding   DRC-12/F/49578/R/561","Middle Africa",M,1966306.0,"Underfunded Emergencies",2012,Nutrition,Nutrition,"",""
"United Nations Population Fund",Africa,COD,"Democratic Republic of the Congo",2012-09-20,Displacement,12-FPA-041,3598,"Amélioration de l’accès aux services de santé de la reproduction d’urgence chez les déplacés internes et les populations d’accueil dans 8 zones de santé au Sud Kivu et au Katanga","Middle Africa",M,643127.0,"Underfunded Emergencies",2012,Health,Health,"",""
"World Health Organization",Africa,COD,"Democratic Republic of the Congo",2012-09-20,Displacement,12-WHO-063,3599,"Projet d’appui d’urgence à l’accès aux soins de santé de base et au renforcement de l’immunité  des enfants de moins de 5 ans parmi les populations déplacées des Territoires de Manono, Mitwaba et Pweto","Middle Africa",M,200510.0,"Underfunded Emergencies",2012,Health,Health,"",""
"World Food Programme",Africa,COD,"Democratic Republic of the Congo",2012-09-28,Displacement,12-WFP-065,3600,"Emergency food assistance to newly displaced people in South Kivu  DRC-12/F/49578/R/561","Middle Africa",M,1677728.0,"Underfunded Emergencies",2012,"Food Aid","Food Security","",""
"World Health Organization",Africa,COD,"Democratic Republic of the Congo",2012-09-26,Displacement,12-WHO-064,3601,"Appui d’urgence à la mise en place d’un paquet minimum d’activités dans les zones de santé de conflits au Sud Kivu, RDC","Middle Africa",M,1150978.0,"Underfunded Emergencies",2012,Health,Health,"",""
"Food and Agriculture Organization",Africa,COD,"Democratic Republic of the Congo",2012-09-26,Displacement,12-FAO-033,3602,"Réponse stratégique efficace, rapide et appropriée aux besoins des populations les plus vulnérables par la constitution de stocks stratégiques d’intrants agricoles en RDC","Middle Africa",M,1632018.0,"Underfunded Emergencies",2012,Agriculture,"Food Security","",""
"United Nations Children’s Fund",Africa,COD,"Democratic Republic of the Congo",2012-09-18,"Other health emergency",12-CEF-113,3628,"Projet de riposte à l’épidémie de Fièvre hémorragique virale Ebola dans la Province Orientale","Middle Africa",M,250000.0,"Rapid Response",2012,Health,Health,"",""
"World Health Organization",Africa,COD,"Democratic Republic of the Congo",2012-09-18,"Other health emergency",12-WHO-069,3629,"Projet de riposte à l’épidémie de Fièvre hémorragique virale Ebola dans la Province Orientale","Middle Africa",M,489515.0,"Rapid Response",2012,Health,Health,"",""
"World Food Programme",Africa,CMR,Cameroon,2012-08-31,Displacement,12-WFP-067,3616,"Protracted Relief and Recovery Operation (Cameroon)","Middle Africa",M,799999.0,"Underfunded Emergencies",2012,Nutrition,Nutrition,"",""
"United Nations Children’s Fund",Africa,CMR,Cameroon,2012-10-05,Flood,12-CEF-114,3630,"Emergency response to population, especially children, affected by floods in the North and Far North regions","Middle Africa",M,499985.0,"Rapid Response",2012,"Multi-sector ",Multi-Cluster,"",""
"United Nations Children’s Fund",Africa,CAF,"Central African Republic",2012-03-16,Displacement,12-CEF-007-A,3213,"Améliorer les conditions de vie et la résilience des populations affectées par les conflits dans la sous-préfecture de Kabo à travers une réponse multisectorielle","Middle Africa",M,850000.0,"Underfunded Emergencies",2012,"Multi-sector ",Multi-Cluster,"",""
"United Nations Children’s Fund",Africa,CAF,"Central African Republic",2012-03-16,Displacement,12-CEF-007-B,3214,"Promoting integrated management of childhood illness (IMCI), emergency obstetric care (EMOC) in northern and southern region of regions of the Central African Republic ","Middle Africa",M,612444.0,"Underfunded Emergencies",2012,Health,Health,"",""
"United Nations Population Fund",Africa,CAF,"Central African Republic",2012-04-02,Displacement,12-FPA-003,3215,"Promoting integrated management of childhood illness (IMCI), emergency obstetric care (EMOC) in northern and southern region of regions of the Central African Republic 
","Middle Africa",M,352109.0,"Underfunded Emergencies",2012,Health,Health,"",""
"World Health Organization",Africa,CAF,"Central African Republic",2012-04-02,Displacement,12-WHO-008,3216,"Promoting integrated management of childhood illness (IMCI), emergency obstetric care (EMOC) in northern and southern region of regions of the Central African Republic ","Middle Africa",M,935400.0,"Underfunded Emergencies",2012,Health,Health,"",""
"Food and Agriculture Organization",Africa,CAF,"Central African Republic",2012-03-08,Displacement,12-FAO-006,3217,"Appui à la Sécurité Alimentaire et à Diversification des moyens d'existence dans les préfectures de Bamingi Bangoran, Vakaga et Haute Kotto","Middle Africa",M,699163.0,"Underfunded Emergencies",2012,Agriculture,"Food Security","",""
"United Nations High Commissioner for Refugees",Africa,CAF,"Central African Republic",2012-03-09,Displacement,12-HCR-007,3218,"Multi-sector assistance to Refugees and Internally Displaced Persons in Northern and South Eastern Central African Republic 
","Middle Africa",M,599992.0,"Underfunded Emergencies",2012,"Multi-sector ",Multi-Cluster,"",""
"World Food Programme",Africa,CAF,"Central African Republic",2012-03-07,Displacement,12-WFP-009,3219,"Provision of Humanitarian Air Services in CAR","Middle Africa",M,850001.0,"Underfunded Emergencies",2012,"Common Humanitarian Air Services","Coordination and Support Services","",""
"World Food Programme",Africa,CAF,"Central African Republic",2012-03-07,Displacement,12-WFP-010,3220,"Assistance aux Personnes Affectées par les Conflits en République Centrafricaine (PRRO 200315) ","Middle Africa",M,1098390.0,"Underfunded Emergencies",2012,"Food Aid","Food Security","",""
"United Nations Children’s Fund",Africa,CAF,"Central African Republic",2012-07-13,Drought,12-CEF-075,3495,"Réponse immédiate pour la prise en charge de l’épidémie de Rougeole, la malnutrition sévère, la crise alimentaire et les urgences medico-obstétricales affectant la population de Oundja dans la Vakaga au nord-est de la RCA","Middle Africa",M,48180.0,"Rapid Response",2012,Nutrition,Nutrition,"",""
"United Nations Population Fund",Africa,CAF,"Central African Republic",2012-07-13,Drought,12-FPA-031,3496,"Réponse immédiate pour la prise en charge de l’épidémie de Rougeole, la malnutrition sévère, la crise alimentaire et les urgences medico-obstétricales affectant la population de Oundja dans la Vakaga au nord-est de la RCA","Middle Africa",M,120075.0,"Rapid Response",2012,Health,Health,"",""
"World Food Programme",Africa,CAF,"Central African Republic",2012-07-13,Drought,12-WFP-047,3497,"Assistance alimentaire d’urgence aux populations Vulnérables dans l’Ouest de la préfecture de la Vakaga","Middle Africa",M,1241264.0,"Rapid Response",2012,"Food Aid","Food Security","",""
"World Health Organization",Africa,CAF,"Central African Republic",2012-07-13,Drought,12-WHO-046,3498,"Réponse immédiate pour la prise en charge de l’épidémie de Rougeole, la malnutrition sévère, la crise alimentaire et les urgences medico-obstétricales affectant la population de Oundja dans la Vakaga au nord-est de la RCA","Middle Africa",M,104222.0,"Rapid Response",2012,Health,Health,"",""
"United Nations Children’s Fund",Africa,CAF,"Central African Republic",2012-07-17,Drought,12-CEF-082,3515,"Réponse d’urgence en Nutrition au  Nord-est  de la  République Centrafricaine (RCA)","Middle Africa",M,479972.0,"Rapid Response",2012,Nutrition,Nutrition,"",""
"World Food Programme",Africa,TCD,Chad,2012-03-12,Displacement,12-WFP-008,3209,"Targeted Food Assistance for Refugees and Vulnerable People Affected by Malnutrition and Recurrent Food Crisis    ","Middle Africa",M,1198772.0,"Underfunded Emergencies",2012,"Food Aid","Food Security","",""
"World Health Organization",Africa,TCD,Chad,2012-03-20,Displacement,12-WHO-007,3210,"Emergency medical intervention for reduction of morbidity and mortality within IDPs and local populations in East of Chad","Middle Africa",M,350686.0,"Underfunded Emergencies",2012,Health,Health,"",""
"Food and Agriculture Organization",Africa,TCD,Chad,2012-10-23,Flood,12-FAO-039,3665,"Emergency gardening seeds supply to floods affected vulnerable households in Southern Chad","Middle Africa",M,302708.0,"Rapid Response",2012,Agriculture,"Food Security","",""
"United Nations High Commissioner for Refugees",Africa,TCD,Chad,2012-03-30,Displacement,12-HCR-006,3208,"Protection and assistance of IDPs in Chad","Middle Africa",M,283333.0,"Underfunded Emergencies",2012,Protection,Protection,"",""
"Joint United Nations Programme on HIV/AIDS ",Africa,TCD,Chad,2012-03-26,Displacement,12-AID-001,3211,"Universal access to basic HIV and AIDS services in the eastern and southern regions of Chad ","Middle Africa",M,342935.0,"Underfunded Emergencies",2012,Health,Health,"",""
"United Nations High Commissioner for Refugees",Africa,TCD,Chad,2012-10-23,Flood,12-HCR-052,3666,"Humanitarian Response to flooding in Southern Chad – Emergency Relocation of refugees of Moula and Yaroungou Camps   CHD-12/MS/44169/120","Middle Africa",M,713387.0,"Rapid Response",2012,"Multi-sector ",Multi-Cluster,"",""
"Food and Agriculture Organization",Africa,TCD,Chad,2012-11-29,"Insect infestation (locusts, army worms, etc.)",12-FAO-045,3700,"Emergency assistance for controlling a Desert Locust outbreak in the Sahel","Middle Africa",M,748007.0,"Rapid Response",2012,Agriculture,"Food Security","",""
"World Health Organization",Africa,TCD,Chad,2012-10-23,Flood,12-WHO-076,3667,"Health Emergency interventions to populations affected by flood  in Chad   CHD-12/H/46024/124","Middle Africa",M,413635.0,"Rapid Response",2012,Health,Health,"",""
"World Food Programme",Africa,TCD,Chad,2012-01-09,Drought,12-WFP-003,3176,"Targeted food assistance to refugees and vulnerable people affected by malnutrition and recurrent food crises (PRRO 200289)","Middle Africa",M,2979447.0,"Rapid Response",2012,Nutrition,Nutrition,"",""
"United Nations Children’s Fund",Africa,TCD,Chad,2012-03-26,Displacement,12-CEF-006-A,3197,"Increase access to Water Supply, Sanitation and Hygiene Services for the vulnerable population (IDPs, returnees and host communities and people affected by malnutrition) in eastern Chad","Middle Africa",M,696570.0,"Underfunded Emergencies",2012,"Water, Sanitation and Hygiene","Water Sanitation Hygiene","",""
"United Nations Children’s Fund",Africa,TCD,Chad,2012-03-16,Displacement,12-CEF-006-C,3199,"Maternal and Child Health Care services to vulnerable population in the Sahel belt of Chad, including refugees, IDPs and host communities in Southern Chad","Middle Africa",M,349355.0,"Underfunded Emergencies",2012,Health,Health,"",""
"United Nations Children’s Fund",Africa,TCD,Chad,2012-03-23,Displacement,12-CEF-006-D,3200,"Education for IDPs, Returnees, Refugees and Host community children in Eastern Chad and Southern Chad","Middle Africa",M,500236.0,"Underfunded Emergencies",2012,Education,Education,"",""
"United Nations Children’s Fund",Africa,TCD,Chad,2012-03-30,Displacement,12-CEF-006-F,3202,"Protection and assistance of IDPs in Chad
","Middle Africa",M,230123.0,"Underfunded Emergencies",2012,Protection,Protection,"",""
"Food and Agriculture Organization",Africa,TCD,Chad,2012-03-12,Displacement,12-FAO-004,3203,"Emergency supply of rainy season seeds to vulnerable returned IDPs and drought affected households in Eastern Chad","Middle Africa",M,1193123.0,"Underfunded Emergencies",2012,Agriculture,"Food Security","",""
"United Nations Population Fund",Africa,TCD,Chad,2012-03-30,Displacement,12-FPA-002,3205,"Protection and assistance of IDPs in Chad","Middle Africa",M,283336.0,"Underfunded Emergencies",2012,Protection,Protection,"",""
"United Nations Children’s Fund",Africa,TCD,Chad,2012-03-12,Displacement/Migration,12-CEF-006-B,3198,"Emergency nutrition and child survival response to the population of the Sahel belt of Chad","Middle Africa",M,1003125.0,"Underfunded Emergencies",2012,Nutrition,Nutrition,"",""
