term	cat	cat2
ministries for international development 	GOV	DEV
minister for international trade 	GOV	
ministers for international trade 	GOV	
ministry for international trade 	GOV	
ministries for international trade 	GOV	
minister for irrigation 	GOV	AGR
ministers for irrigation 	GOV	AGR
ministry for irrigation 	GOV	AGR
ministries for irrigation 	GOV	AGR
minister for justice 	GOV	
ministers for justice 	GOV	
ministry for justice 	GOV	
ministries for justice 	GOV	
minister for jute and textiles 	GOV	
ministers for jute and textiles 	GOV	
ministry for jute and textiles 	GOV	
ministries for jute and textiles 	GOV	
minister for labor 	GOV	LAB
ministers for labor 	GOV	LAB
ministry for labor 	GOV	LAB
ministries for labor 	GOV	LAB
minister for labour 	GOV	LAB
ministers for labour 	GOV	LAB
ministry for labour 	GOV	LAB
ministries for labour 	GOV	LAB
minister for lands,_housing and urban development 	GOV	
ministers for lands,_housing and urban development 	GOV	
ministry for lands,_housing and urban development 	GOV	
ministries for lands,_housing and urban development 	GOV	
minister for lands 	GOV	
ministers for lands 	GOV	
ministry for lands 	GOV	
ministries for lands 	GOV	
minister for law 	GOV	
ministers for law 	GOV	
ministry for law 	GOV	
ministries for law 	GOV	
minister for livestock 	GOV	AGR
ministers for livestock 	GOV	AGR
ministry for livestock 	GOV	AGR
ministries for livestock 	GOV	AGR
minister for local government 	GOV	DEV
ministers for local government 	GOV	DEV
ministry for local government 	GOV	DEV
ministries for local government 	GOV	DEV
minister for materials 	GOV	
ministers for materials 	GOV	
ministry for materials 	GOV	
ministries for materials 	GOV	
minister for mineral resources 	GOV	ENV
ministers for mineral resources 	GOV	ENV
ministry for mineral resources 	GOV	ENV
ministries for mineral resources 	GOV	ENV
minister for mines 	GOV	
ministers for mines 	GOV	
ministry for mines 	GOV	
ministries for mines 	GOV	
minister for mining and energy 	GOV	
ministers for mining and energy 	GOV	
ministry for mining and energy 	GOV	
ministries for mining and energy 	GOV	
minister for national defence 	GOV	MIL
ministers for national defence 	GOV	MIL
ministry for national defence 	GOV	MIL
ministries for national defence 	GOV	MIL
minister for national development 	GOV	DEV
ministers for national development 	GOV	DEV
ministry for national development 	GOV	DEV
ministries for national development 	GOV	DEV
minister for national economy 	GOV	
ministers for national economy 	GOV	
ministry for national economy 	GOV	
ministries for national economy 	GOV	
minister for national education 	GOV	EDU
ministers for national education 	GOV	EDU
ministry for national education 	GOV	EDU
ministries for national education 	GOV	EDU
minister for national planning and economic development 	GOV	DEV
ministers for national planning and economic development 	GOV	DEV
ministry for national planning and economic development 	GOV	DEV
ministries for national planning and economic development 	GOV	DEV
minister for natural resources 	GOV	ENV
ministers for natural resources 	GOV	ENV
ministry for natural resources 	GOV	ENV
ministries for natural resources 	GOV	ENV
minister for natural resources and environment 	GOV	ENV
ministers for natural resources and environment 	GOV	ENV
ministry for natural resources and environment 	GOV	ENV
ministries for natural resources and environment 	GOV	ENV
minister for ngos 	GOV	
ministers for ngos 	GOV	
ministry for ngos 	GOV	
ministries for ngos 	GOV	
minister for oil 	GOV	
ministers for oil 	GOV	
ministry for oil 	GOV	
ministries for oil 	GOV	
minister for petroleum 	GOV	
ministers for petroleum 	GOV	
ministry for petroleum 	GOV	
ministries for petroleum 	GOV	
minister for planning 	GOV	DEV
ministers for planning 	GOV	DEV
ministry for planning 	GOV	DEV
ministries for planning 	GOV	DEV
minister for planning and development 	GOV	DEV
ministers for planning and development 	GOV	DEV
ministry for planning and development 	GOV	DEV
ministries for planning and development 	GOV	DEV
minister for post and telecommunication 	GOV	MED
ministers for post and telecommunication 	GOV	MED
ministry for post and telecommunication 	GOV	MED
ministries for post and telecommunication 	GOV	MED
minister for presidential affairs 	GOV	
ministers for presidential affairs 	GOV	
ministry for presidential affairs 	GOV	
ministries for presidential affairs 	GOV	
minister for production 	GOV	BUS
ministers for production 	GOV	BUS
ministry for production 	GOV	BUS
ministries for production 	GOV	BUS
minister for progress 	GOV	
ministers for progress 	GOV	
ministry for progress 	GOV	
ministries for progress 	GOV	
minister for public health 	GOV	HLH
ministers for public health 	GOV	HLH
ministry for public health 	GOV	HLH
ministries for public health 	GOV	HLH
minister for public health and social welfare 	GOV	HLH
ministers for public health and social welfare 	GOV	HLH
ministry for public health and social welfare 	GOV	HLH
ministries for public health and social welfare 	GOV	HLH
minister for public service 	GOV	DEV
ministers for public service 	GOV	DEV
ministry for public service 	GOV	DEV
ministries for public service 	GOV	DEV
minister for public service and administerrative reform 	GOV	DEV
ministers for public service and administersrative reform 	GOV	DEV
ministry for public service and administryrative reform 	GOV	DEV
ministries for public service and administriesrative reform 	GOV	DEV
minister for public utilities 	GOV	
ministers for public utilities 	GOV	
ministry for public utilities 	GOV	
ministries for public utilities 	GOV	
minister for public works 	GOV	
ministers for public works 	GOV	
ministry for public works 	GOV	
ministries for public works 	GOV	
minister for rail transport 	GOV	MED
ministers for rail transport 	GOV	MED
ministry for rail transport 	GOV	MED
ministries for rail transport 	GOV	MED
minister for regional cooperation 	GOV	
ministers for regional cooperation 	GOV	
ministry for regional cooperation 	GOV	
ministries for regional cooperation 	GOV	
minister for regional development 	GOV	
ministers for regional development 	GOV	
ministry for regional development 	GOV	
ministries for regional development 	GOV	
minister for religious affairs 	GOV	REL
ministers for religious affairs 	GOV	REL
ministry for religious affairs 	GOV	REL
ministries for religious affairs 	GOV	REL
minister for roads and transport 	GOV	
ministers for roads and transport 	GOV	
ministry for roads and transport 	GOV	
ministries for roads and transport 	GOV	
minister for rural development 	GOV	DEV
ministers for rural development 	GOV	DEV
ministry for rural development 	GOV	DEV
ministries for rural development 	GOV	DEV
minister for science 	GOV	
ministers for science 	GOV	
ministry for science 	GOV	
ministries for science 	GOV	
minister for security 	GOV	
ministers for security 	GOV	
ministry for security 	GOV	
ministries for security 	GOV	
minister for shipping 	GOV	
ministers for shipping 	GOV	
ministry for shipping 	GOV	
ministries for shipping 	GOV	
minister for social action and national solidarity 	GOV	
ministers for social action and national solidarity 	GOV	
ministry for social action and national solidarity 	GOV	
ministries for social action and national solidarity 	GOV	
minister for social affairs and labor 	GOV	LAB
ministers for social affairs and labor 	GOV	LAB
ministry for social affairs and labor 	GOV	LAB
ministries for social affairs and labor 	GOV	LAB
minister for social welfare 	GOV	HLH
ministers for social welfare 	GOV	HLH
ministry for social welfare 	GOV	HLH
ministries for social welfare 	GOV	HLH
minister for special affairs of tribes people 	GOV	
ministers for special affairs of tribes people 	GOV	
ministry for special affairs of tribes people 	GOV	
ministries for special affairs of tribes people 	GOV	
minister for special affairs 	GOV	
ministers for special affairs 	GOV	
ministry for special affairs 	GOV	
ministries for special affairs 	GOV	
minister for sports 	GOV	
ministers for sports 	GOV	
ministry for sports 	GOV	
ministries for sports 	GOV	
minister for state 	GOV	
ministers for state 	GOV	
ministry for state 	GOV	
ministries for state 	GOV	
minister for state planning 	GOV	DEV
ministers for state planning 	GOV	DEV
ministry for state planning 	GOV	DEV
ministries for state planning 	GOV	DEV
minister for telecommunication 	GOV	MED
ministers for telecommunication 	GOV	MED
ministry for telecommunication 	GOV	MED
ministries for telecommunication 	GOV	MED
minister for territorial administerration 	GOV	
ministers for territorial administersration 	GOV	
ministry for territorial administryration 	GOV	
ministries for territorial administriesration 	GOV	
minister for textiles 	GOV	
ministers for textiles 	GOV	
ministry for textiles 	GOV	
ministries for textiles 	GOV	
minister for the attorney general 	GOV	
ministers for the attorney general 	GOV	
ministry for the attorney general 	GOV	
ministries for the attorney general 	GOV	
minister for the civil service 	GOV	
ministers for the civil service 	GOV	
ministry for the civil service 	GOV	
ministries for the civil service 	GOV	
minister for the environment 	GOV	ENV
ministers for the environment 	GOV	ENV
ministry for the environment 	GOV	ENV
ministries for the environment 	GOV	ENV
minister for the finance administerration 	GOV	
ministers for the finance administersration 	GOV	
ministry for the finance administryration 	GOV	
ministries for the finance administriesration 	GOV	
minister for the interior 	GOV	
ministers for the interior 	GOV	
ministry for the interior 	GOV	
ministries for the interior 	GOV	
minister for the presidency 	GOV	
ministers for the presidency 	GOV	
ministry for the presidency 	GOV	
ministries for the presidency 	GOV	
minister for the treasury 	GOV	
ministers for the treasury 	GOV	
ministry for the treasury 	GOV	
ministries for the treasury 	GOV	
minister for tourism 	GOV	
ministers for tourism 	GOV	
ministry for tourism 	GOV	
ministries for tourism 	GOV	
minister for trade 	GOV	
ministers for trade 	GOV	
ministry for trade 	GOV	
ministries for trade 	GOV	
minister for transport 	GOV	MED
ministers for transport 	GOV	MED
ministry for transport 	GOV	MED
ministries for transport 	GOV	MED
minister for transport and communication 	GOV	MED
ministers for transport and communication 	GOV	MED
ministry for transport and communication 	GOV	MED
ministries for transport and communication 	GOV	MED
minister for veterans affairs 	GOV	DEV
ministers for veterans affairs 	GOV	DEV
ministry for veterans affairs 	GOV	DEV
ministries for veterans affairs 	GOV	DEV
minister for water 	GOV	
ministers for water 	GOV	
ministry for water 	GOV	
ministries for water 	GOV	
minister for welfare 	GOV	HLH
ministers for welfare 	GOV	HLH
ministry for welfare 	GOV	HLH
ministries for welfare 	GOV	HLH
minister for women 	GOV	HRI
ministers for women 	GOV	HRI
ministry for women 	GOV	HRI
ministries for women 	GOV	HRI
minister for works 	GOV	
ministers for works 	GOV	
ministry for works 	GOV	
ministries for works 	GOV	
minister for youth,_sports and recreation 	GOV	
ministers for youth,_sports and recreation 	GOV	
ministry for youth,_sports and recreation 	GOV	
ministries for youth,_sports and recreation 	GOV	
minister for youth and sport 	GOV	
ministers for youth and sport 	GOV	
ministry for youth and sport 	GOV	
ministries for youth and sport 	GOV	
minister general secretariat of the presidency 	GOV	
ministers general secretariat of the presidency 	GOV	
ministry general secretariat of the presidency 	GOV	
ministries general secretariat of the presidency 	GOV	
minister of youth and sports 	GOV	
ministers of youth and sports 	GOV	
ministry of youth and sports 	GOV	
ministries of youth and sports 	GOV	
minister of agriculture 	GOV	AGR
ministers of agriculture 	GOV	AGR
ministry of agriculture 	GOV	AGR
ministries of agriculture 	GOV	AGR
minister of animal husbandry and aquatics 	GOV	AGR
ministers of animal husbandry and aquatics 	GOV	AGR
ministry of animal husbandry and aquatics 	GOV	AGR
ministries of animal husbandry and aquatics 	GOV	AGR
minister of animal resources 	GOV	AGR
ministers of animal resources 	GOV	AGR
ministry of animal resources 	GOV	AGR
ministries of animal resources 	GOV	AGR
minister of budget 	GOV	
ministers of budget 	GOV	
ministry of budget 	GOV	
ministries of budget 	GOV	
minister of cities 	GOV	
ministers of cities 	GOV	
ministry of cities 	GOV	
ministries of cities 	GOV	
minister of civil 	GOV	MIL
ministers of civil 	GOV	MIL
ministry of civil 	GOV	MIL
ministries of civil 	GOV	MIL
minister of civil aviation 	GOV	
ministers of civil aviation 	GOV	
ministry of civil aviation 	GOV	
ministries of civil aviation 	GOV	
minister of commerce 	GOV	
ministers of commerce 	GOV	
ministry of commerce 	GOV	
ministries of commerce 	GOV	
minister of communications 	GOV	MED
ministers of communications 	GOV	MED
ministry of communications 	GOV	MED
ministries of communications 	GOV	MED
minister of communication 	GOV	MED
ministers of communication 	GOV	MED
ministry of communication 	GOV	MED
ministries of communication 	GOV	MED
minister of communication and culture 	GOV	MED
ministers of communication and culture 	GOV	MED
ministry of communication and culture 	GOV	MED
ministries of communication and culture 	GOV	MED
minister of communication and information technology 	GOV	
ministers of communication and information technology 	GOV	
ministry of communication and information technology 	GOV	
ministries of communication and information technology 	GOV	
minister of construction 	GOV	DEV
ministers of construction 	GOV	DEV
ministry of construction 	GOV	DEV
ministries of construction 	GOV	DEV
minister of counter narcotics 	GOV	
ministers of counter narcotics 	GOV	
ministry of counter narcotics 	GOV	
ministries of counter narcotics 	GOV	
minister of defence 	GOV	MIL
ministers of defence 	GOV	MIL
ministry of defence 	GOV	MIL
ministries of defence 	GOV	MIL
minister of defense 	GOV	MIL
ministers of defense 	GOV	MIL
ministry of defense 	GOV	MIL
ministries of defense 	GOV	MIL
minister of disaster management 	GOV	
ministers of disaster management 	GOV	
ministry of disaster management 	GOV	
ministries of disaster management 	GOV	
minister of domestic trade 	GOV	
ministers of domestic trade 	GOV	
ministry of domestic trade 	GOV	
ministries of domestic trade 	GOV	
minister of economic affairs 	GOV	
ministers of economic affairs 	GOV	
ministry of economic affairs 	GOV	
ministries of economic affairs 	GOV	
minister of economic affairs and finance 	GOV	
ministers of economic affairs and finance 	GOV	
ministry of economic affairs and finance 	GOV	
ministries of economic affairs and finance 	GOV	
minister of economy 	GOV	
ministers of economy 	GOV	
ministry of economy 	GOV	
ministries of economy 	GOV	
minister of economy and finance 	GOV	
ministers of economy and finance 	GOV	
ministry of economy and finance 	GOV	
ministries of economy and finance 	GOV	
minister of economy and planning 	GOV	
ministers of economy and planning 	GOV	
ministry of economy and planning 	GOV	
ministries of economy and planning 	GOV	
minister of economy and public finance 	GOV	
ministers of economy and public finance 	GOV	
ministry of economy and public finance 	GOV	
ministries of economy and public finance 	GOV	
minister of education 	GOV	EDU
ministers of education 	GOV	EDU
ministry of education 	GOV	EDU
ministries of education 	GOV	EDU
minister of electricity 	GOV	
ministers of electricity 	GOV	
ministry of electricity 	GOV	
ministries of electricity 	GOV	
minister of employment and vocational training 	GOV	LAB
ministers of employment and vocational training 	GOV	LAB
ministry of employment and vocational training 	GOV	LAB
ministries of employment and vocational training 	GOV	LAB
minister of energy 	GOV	
ministers of energy 	GOV	
ministry of energy 	GOV	
ministries of energy 	GOV	
minister of environment 	GOV	ENV
ministers of environment 	GOV	ENV
ministry of environment 	GOV	ENV
ministries of environment 	GOV	ENV
minister of equipment 	GOV	DEV
ministers of equipment 	GOV	DEV
ministry of equipment 	GOV	DEV
ministries of equipment 	GOV	DEV
minister of european affairs 	GOV	
ministers of european affairs 	GOV	
ministry of european affairs 	GOV	
ministries of european affairs 	GOV	
minister of european union affairs 	GOV	
ministers of european union affairs 	GOV	
ministry of european union affairs 	GOV	
ministries of european union affairs 	GOV	
minister of external relations 	GOV	
ministers of external relations 	GOV	
ministry of external relations 	GOV	
ministries of external relations 	GOV	
minister of finance 	GOV	
ministers of finance 	GOV	
ministry of finance 	GOV	
ministries of finance 	GOV	
minister of finance services 	GOV	
ministers of finance services 	GOV	
ministry of finance services 	GOV	
ministries of finance services 	GOV	
minister of fisheries 	GOV	AGR
ministers of fisheries 	GOV	AGR
ministry of fisheries 	GOV	AGR
ministries of fisheries 	GOV	AGR
minister of food 	GOV	
ministers of food 	GOV	
ministry of food 	GOV	
ministries of food 	GOV	
minister of foreign 	GOV	
ministers of foreign 	GOV	
ministry of foreign 	GOV	
ministries of foreign 	GOV	
minister of foreign affairs 	GOV	
ministers of foreign affairs 	GOV	
ministry of foreign affairs 	GOV	
ministries of foreign affairs 	GOV	
minister of gender and youth,_sports and recreation 	GOV	
ministers of gender and youth,_sports and recreation 	GOV	
ministry of gender and youth,_sports and recreation 	GOV	
ministries of gender and youth,_sports and recreation 	GOV	
minister of government 	GOV	
ministers of government 	GOV	
ministry of government 	GOV	
ministries of government 	GOV	
minister of health 	GOV	HLH
ministers of health 	GOV	HLH
ministry of health 	GOV	HLH
ministries of health 	GOV	HLH
minister of higher education 	GOV	EDU
ministers of higher education 	GOV	EDU
ministry of higher education 	GOV	EDU
ministries of higher education 	GOV	EDU
minister of home affairs 	GOV	
ministers of home affairs 	GOV	
ministry of home affairs 	GOV	
ministries of home affairs 	GOV	
minister of housing 	GOV	
ministers of housing 	GOV	
ministry of housing 	GOV	
ministries of housing 	GOV	
minister of human development 	GOV	DEV
ministers of human development 	GOV	DEV
ministry of human development 	GOV	DEV
ministries of human development 	GOV	DEV
minister of human development and social transformation 	GOV	DEV
ministers of human development and social transformation 	GOV	DEV
ministry of human development and social transformation 	GOV	DEV
ministries of human development and social transformation 	GOV	DEV
minister of hydrocarbons 	GOV	ENV
ministers of hydrocarbons 	GOV	ENV
ministry of hydrocarbons 	GOV	ENV
ministries of hydrocarbons 	GOV	ENV
minister of hydrocarbons and energy 	GOV	
ministers of hydrocarbons and energy 	GOV	
ministry of hydrocarbons and energy 	GOV	
ministries of hydrocarbons and energy 	GOV	
minister of industry 	GOV	BUS
ministers of industry 	GOV	BUS
ministry of industry 	GOV	BUS
ministries of industry 	GOV	BUS
minister of industry and trade 	GOV	BUS
ministers of industry and trade 	GOV	BUS
ministry of industry and trade 	GOV	BUS
ministries of industry and trade 	GOV	BUS
minister of information 	GOV	MED
ministers of information 	GOV	MED
ministry of information 	GOV	MED
ministries of information 	GOV	MED
minister of infrastructure 	GOV	DEV
ministers of infrastructure 	GOV	DEV
ministry of infrastructure 	GOV	DEV
ministries of infrastructure 	GOV	DEV
minister of interior 	GOV	
ministers of interior 	GOV	
ministry of interior 	GOV	
ministries of interior 	GOV	
minister of internal affairs 	GOV	
ministers of internal affairs 	GOV	
ministry of internal affairs 	GOV	
ministries of internal affairs 	GOV	
minister of international cooperation 	GOV	
ministers of international cooperation 	GOV	
ministry of international cooperation 	GOV	
ministries of international cooperation 	GOV	
minister of international trade 	GOV	
ministers of international trade 	GOV	
ministry of international trade 	GOV	
ministries of international trade 	GOV	
minister of irrigation 	GOV	AGR
ministers of irrigation 	GOV	AGR
ministry of irrigation 	GOV	AGR
ministries of irrigation 	GOV	AGR
minister of justice 	GOV	
ministers of justice 	GOV	
ministry of justice 	GOV	
ministries of justice 	GOV	
minister of jute and textiles 	GOV	
ministers of jute and textiles 	GOV	
ministry of jute and textiles 	GOV	
ministries of jute and textiles 	GOV	
minister of labor 	GOV	LAB
ministers of labor 	GOV	LAB
ministry of labor 	GOV	LAB
ministries of labor 	GOV	LAB
minister of labour 	GOV	LAB
ministers of labour 	GOV	LAB
ministry of labour 	GOV	LAB
ministries of labour 	GOV	LAB
minister of lands,_housing and urban development 	GOV	
ministers of lands,_housing and urban development 	GOV	
ministry of lands,_housing and urban development 	GOV	
ministries of lands,_housing and urban development 	GOV	
minister of lands 	GOV	
ministers of lands 	GOV	
ministry of lands 	GOV	
ministries of lands 	GOV	
minister of law 	GOV	
ministers of law 	GOV	
ministry of law 	GOV	
ministries of law 	GOV	
minister of legal defense of the state 	GOV	
ministers of legal defense of the state 	GOV	
ministry of legal defense of the state 	GOV	
ministries of legal defense of the state 	GOV	
minister of livestock 	GOV	AGR
ministers of livestock 	GOV	AGR
ministry of livestock 	GOV	AGR
ministries of livestock 	GOV	AGR
minister of local government 	GOV	DEV
ministers of local government 	GOV	DEV
ministry of local government 	GOV	DEV
ministries of local government 	GOV	DEV
minister of materials 	GOV	
ministers of materials 	GOV	
ministry of materials 	GOV	
ministries of materials 	GOV	
minister of mineral resources 	GOV	ENV
ministers of mineral resources 	GOV	ENV
ministry of mineral resources 	GOV	ENV
ministries of mineral resources 	GOV	ENV
minister of mines 	GOV	
ministers of mines 	GOV	
ministry of mines 	GOV	
ministries of mines 	GOV	
minister of mining and energy 	GOV	
ministers of mining and energy 	GOV	
ministry of mining and energy 	GOV	
ministries of mining and energy 	GOV	
minister of national defence 	GOV	MIL
ministers of national defence 	GOV	MIL
ministry of national defence 	GOV	MIL
ministries of national defence 	GOV	MIL
minister of national development 	GOV	DEV
ministers of national development 	GOV	DEV
ministry of national development 	GOV	DEV
ministries of national development 	GOV	DEV
minister of national economy 	GOV	
ministers of national economy 	GOV	
ministry of national economy 	GOV	
ministries of national economy 	GOV	
minister of national education 	GOV	EDU
ministers of national education 	GOV	EDU
ministry of national education 	GOV	EDU
ministries of national education 	GOV	EDU
minister of national integration 	GOV	
ministers of national integration 	GOV	
ministry of national integration 	GOV	
ministries of national integration 	GOV	
minister of national planning and economic development 	GOV	DEV
ministers of national planning and economic development 	GOV	DEV
ministry of national planning and economic development 	GOV	DEV
ministries of national planning and economic development 	GOV	DEV
minister of national security 	GOV	MIL
ministers of national security 	GOV	MIL
ministry of national security 	GOV	MIL
ministries of national security 	GOV	MIL
minister of natural resources 	GOV	ENV
ministers of natural resources 	GOV	ENV
ministry of natural resources 	GOV	ENV
ministries of natural resources 	GOV	ENV
minister of natural resources and environment 	GOV	ENV
ministers of natural resources and environment 	GOV	ENV
ministry of natural resources and environment 	GOV	ENV
ministries of natural resources and environment 	GOV	ENV
minister of ngos 	GOV	
ministers of ngos 	GOV	
ministry of ngos 	GOV	
ministries of ngos 	GOV	
minister of oil 	GOV	
ministers of oil 	GOV	
ministry of oil 	GOV	
ministries of oil 	GOV	
minister of oil and energy 	GOV	
ministers of oil and energy 	GOV	
ministry of oil and energy 	GOV	
ministries of oil and energy 	GOV	
minister of petroleum 	GOV	
ministers of petroleum 	GOV	
ministry of petroleum 	GOV	
ministries of petroleum 	GOV	
minister of planning 	GOV	DEV
ministers of planning 	GOV	DEV
ministry of planning 	GOV	DEV
ministries of planning 	GOV	DEV
minister of planning and development 	GOV	DEV
ministers of planning and development 	GOV	DEV
ministry of planning and development 	GOV	DEV
ministries of planning and development 	GOV	DEV
minister of post and telecommunication 	GOV	MED
ministers of post and telecommunication 	GOV	MED
ministry of post and telecommunication 	GOV	MED
ministries of post and telecommunication 	GOV	MED
minister of presidential affairs 	GOV	
ministers of presidential affairs 	GOV	
ministry of presidential affairs 	GOV	
ministries of presidential affairs 	GOV	
minister of production 	GOV	BUS
ministers of production 	GOV	BUS
ministry of production 	GOV	BUS
ministries of production 	GOV	BUS
minister of public health 	GOV	HLH
ministers of public health 	GOV	HLH
ministry of public health 	GOV	HLH
ministries of public health 	GOV	HLH
minister of public health and social welfare 	GOV	HLH
ministers of public health and social welfare 	GOV	HLH
ministry of public health and social welfare 	GOV	HLH
ministries of public health and social welfare 	GOV	HLH
minister of public service 	GOV	DEV
ministers of public service 	GOV	DEV
ministry of public service 	GOV	DEV
ministries of public service 	GOV	DEV
minister of public service and administerrative reform 	GOV	DEV
ministers of public service and administersrative reform 	GOV	DEV
ministry of public service and administryrative reform 	GOV	DEV
ministries of public service and administriesrative reform 	GOV	DEV
minister of public utilities 	GOV	
ministers of public utilities 	GOV	
ministry of public utilities 	GOV	
ministries of public utilities 	GOV	
minister of public works 	GOV	
ministers of public works 	GOV	
ministry of public works 	GOV	
ministries of public works 	GOV	
minister of public works services and housing 	GOV	
ministers of public works services and housing 	GOV	
ministry of public works services and housing 	GOV	
ministries of public works services and housing 	GOV	
minister of ores and smelting 	GOV	 
ministers of ores and smelting 	GOV	 
ministry of ores and smelting 	GOV	 
ministries of ores and smelting 	GOV	 
minister of rail transport 	GOV	MED
ministers of rail transport 	GOV	MED
ministry of rail transport 	GOV	MED
ministries of rail transport 	GOV	MED
minister of reconstruction 	GOV	
ministers of reconstruction 	GOV	
ministry of reconstruction 	GOV	
ministries of reconstruction 	GOV	
minister of regional cooperation 	GOV	
ministers of regional cooperation 	GOV	
ministry of regional cooperation 	GOV	
ministries of regional cooperation 	GOV	
minister of religious affairs 	GOV	REL
ministers of religious affairs 	GOV	REL
ministry of religious affairs 	GOV	REL
ministries of religious affairs 	GOV	REL
minister of roads and transport 	GOV	
ministers of roads and transport 	GOV	
ministry of roads and transport 	GOV	
ministries of roads and transport 	GOV	
minister of rural development 	GOV	DEV
ministers of rural development 	GOV	DEV
ministry of rural development 	GOV	DEV
ministries of rural development 	GOV	DEV
minister of science 	GOV	
ministers of science 	GOV	
ministry of science 	GOV	
ministries of science 	GOV	
minister of security 	GOV	
ministers of security 	GOV	
ministry of security 	GOV	
ministries of security 	GOV	
minister of shipping 	GOV	
ministers of shipping 	GOV	
ministry of shipping 	GOV	
ministries of shipping 	GOV	
minister of social action and national solidarity 	GOV	
ministers of social action and national solidarity 	GOV	
ministry of social action and national solidarity 	GOV	
ministries of social action and national solidarity 	GOV	
minister of social affairs and labor 	GOV	LAB
ministers of social affairs and labor 	GOV	LAB
ministry of social affairs and labor 	GOV	LAB
ministries of social affairs and labor 	GOV	LAB
minister of social welfare 	GOV	HLH
ministers of social welfare 	GOV	HLH
ministry of social welfare 	GOV	HLH
ministries of social welfare 	GOV	HLH
minister of sports 	GOV	
ministers of sports 	GOV	
ministry of sports 	GOV	
ministries of sports 	GOV	
minister of sports and youth 	GOV	
ministers of sports and youth 	GOV	
ministry of sports and youth 	GOV	
ministries of sports and youth 	GOV	
minister of sports and youth affairs 	GOV	
ministers of sports and youth affairs 	GOV	
ministry of sports and youth affairs 	GOV	
ministries of sports and youth affairs 	GOV	
minister of sports _youth 	GOV	
ministers of sports _youth 	GOV	
ministry of sports _youth 	GOV	
ministries of sports _youth 	GOV	
minister of state 	GOV	
ministers of state 	GOV	
ministry of state 	GOV	
ministries of state 	GOV	
minister of state planning 	GOV	DEV
ministers of state planning 	GOV	DEV
ministry of state planning 	GOV	DEV
ministries of state planning 	GOV	DEV
minister of telecommunication 	GOV	MED
ministers of telecommunication 	GOV	MED
ministry of telecommunication 	GOV	MED
ministries of telecommunication 	GOV	MED
minister of territorial administerration 	GOV	
ministers of territorial administersration 	GOV	
ministry of territorial administryration 	GOV	
ministries of territorial administriesration 	GOV	
minister of textiles 	GOV	
ministers of textiles 	GOV	
ministry of textiles 	GOV	
ministries of textiles 	GOV	
minister of the attorney general 	GOV	
ministers of the attorney general 	GOV	
ministry of the attorney general 	GOV	
ministries of the attorney general 	GOV	
minister of the environment 	GOV	ENV
ministers of the environment 	GOV	ENV
ministry of the environment 	GOV	ENV
ministries of the environment 	GOV	ENV
minister of the finance administerration 	GOV	
ministers of the finance administersration 	GOV	
ministry of the finance administryration 	GOV	
ministries of the finance administriesration 	GOV	
minister of the general secretariat of the presidency 	GOV	
ministers of the general secretariat of the presidency 	GOV	
ministry of the general secretariat of the presidency 	GOV	
ministries of the general secretariat of the presidency 	GOV	
minister of the interior 	GOV	
ministers of the interior 	GOV	
ministry of the interior 	GOV	
ministries of the interior 	GOV	
minister of the presidency 	GOV	
ministers of the presidency 	GOV	
ministry of the presidency 	GOV	
ministries of the presidency 	GOV	
minister of the treasury 	GOV	
ministers of the treasury 	GOV	
ministry of the treasury 	GOV	
ministries of the treasury 	GOV	
minister of tourism 	GOV	
ministers of tourism 	GOV	
ministry of tourism 	GOV	
ministries of tourism 	GOV	
minister of trade 	GOV	
ministers of trade 	GOV	
ministry of trade 	GOV	
ministries of trade 	GOV	
minister of transport 	GOV	MED
ministers of transport 	GOV	MED
ministry of transport 	GOV	MED
ministries of transport 	GOV	MED
minister of veterans affairs 	GOV	DEV
ministers of veterans affairs 	GOV	DEV
ministry of veterans affairs 	GOV	DEV
ministries of veterans affairs 	GOV	DEV
minister of water 	GOV	
ministers of water 	GOV	
ministry of water 	GOV	
ministries of water 	GOV	
minister of water resources and irrigation_ 	GOV	
ministers of water resources and irrigation_ 	GOV	
ministry of water resources and irrigation_ 	GOV	
ministries of water resources and irrigation_ 	GOV	
minister of welfare 	GOV	HLH
ministers of welfare 	GOV	HLH
ministry of welfare 	GOV	HLH
ministries of welfare 	GOV	HLH
minister of women 	GOV	HRI
ministers of women 	GOV	HRI
ministry of women 	GOV	HRI
ministries of women 	GOV	HRI
minister of works 	GOV	
ministers of works 	GOV	
ministry of works 	GOV	
ministries of works 	GOV	
minister of youth,_sports and recreation 	GOV	
ministers of youth,_sports and recreation 	GOV	
ministry of youth,_sports and recreation 	GOV	
ministries of youth,_sports and recreation 	GOV	
minister of youth and sport 	GOV	
ministers of youth and sport 	GOV	
ministry of youth and sport 	GOV	
ministries of youth and sport 	GOV	
national planning and economic development minister 	GOV	DEV
national planning and economic development ministers 	GOV	DEV
national planning and economic development ministry 	GOV	DEV
national planning and economic development ministries 	GOV	DEV
ngos minister 	GOV	
ngos ministers 	GOV	
ngos ministry 	GOV	
ngos ministries 	GOV	
ngo minister 	GOV	
ngo ministers 	GOV	
ngo ministry 	GOV	
ngo ministries 	GOV	
petroleum minister 	GOV	
petroleum ministers 	GOV	
petroleum ministry 	GOV	
petroleum ministries 	GOV	
post and telecommunications minister 	GOV	MED
post and telecommunications ministers 	GOV	MED
post and telecommunications ministry 	GOV	MED
post and telecommunications ministries 	GOV	MED
