Ethiopia;JVL Agro Industries Ltd;India;Non-food agricultural commodities;[2012] Concluded (Contract signed);5000;Cotton
Ethiopia;Kehedem Trading;Ethiopia;Agriunspecified;[2003] Concluded (Contract signed);3000;Oil Seeds
Ethiopia;Keystone;Ethiopia;Food crops;[2002] Concluded (Contract signed);431;Food crops (no specification), Fruit, Vegetables
Ethiopia;Lucci Agricultural Development Plc;Ethiopia;Non-food agricultural commodities;[2002] Concluded (Contract signed);4003;Cotton
Ethiopia;Nega Mamay Mihret;Ethiopia;Biofuels, Food crops, Non-food agricultural commodities;[2011] Concluded (Contract signed);3000;Cotton, Sesame, Soya Beans
Ethiopia;Mela Agricultural Developement Plc;Ethiopia;Biofuels, Food crops, Non-food agricultural commodities;Failed (Contract canceled);5000;Cereals (no specification), Cotton, Oil Seeds
Ethiopia;Ayka, Omo Valley Farm Cooperation Plc;Turkey, Ethiopia;Non-food agricultural commodities;[2012] Concluded (Contract signed);10000;Cotton
Ethiopia;Rahwa Agri-Development PLC;Ethiopia;Biofuels, Food crops, Non-food agricultural commodities;[2002] Concluded (Contract signed);3000;Cereals (no specification), Cotton, Oil Seeds
Ethiopia;Reta;Ethiopia;Food crops, Non-food agricultural commodities;[2001] Concluded (Contract signed);2137;Cotton, Grains
Ethiopia;Saber Group;India;Food crops, Non-food agricultural commodities;[2011] Concluded (Contract signed);25000;Cotton, Soya Beans
Ethiopia;Tigabe Agro Industry;Ethiopia;Food crops, Non-food agricultural commodities;[2003] Concluded (Contract signed);3000;Cotton, Oil Seeds, Sesame
Ethiopia;Tikimt Agricultural Plc;Ethiopia;Food crops, Non-food agricultural commodities;[2004] Concluded (Contract signed);3000;Cotton, Sesame, Soya Beans
Ethiopia;Tracon Trading Pvt. Ltd/ Co.;Ethiopia;Non-food agricultural commodities;[2003] Concluded (Contract signed);5000;Cotton
Ethiopia;Tsegaye Demoze Agricultural Development;Ethiopia;Food crops, Non-food agricultural commodities;[2002] Concluded (Contract signed);1000;Cotton, Sesame, Corn (Maize), Soya Beans
Zambia;Olam International Ltd.;Singapore;Food crops;[2012] Concluded (Contract signed);4380;Coffee Plant, Corn (Maize), Sun Flower
Ethiopia;Saudi Star Agricultural Development Plc;Saudi Arabia;Food crops;[2003] Concluded (Contract signed);10000;Sugar beet
United Republic of Tanzania;Boleyn International;China;Biofuels, Food crops, For wood and fibre;[2007] Concluded (Contract signed);324;Olives, Castor Oil Plant, Eucalyptus
Cameroon;GMG Global Ltd, SPPH;Singapore, France;Agriunspecified, Non-food agricultural commodities;[2013] Concluded (Contract signed);45000;Oil Palm, Rubber
Indonesia;M.P. Evans Group PLC , PT Austindo Nusantara Jaya;United Kingdom of Great Britain and Northern Ireland, Indonesia;Agriunspecified;Concluded (Contract signed);2961;Oil Palm
Indonesia;M.P. Evans Group PLC ;United Kingdom of Great Britain and Northern Ireland;Agriunspecified;Concluded (Contract signed);1813;Oil Palm
Mozambique;Wanbao Grain and Oil Investment Ltd, China Africa Development Fund;China;Food crops, Non-food agricultural commodities;[2012] Concluded (Contract signed);20000;Corn (Maize), Rice (hybrid)
Guinea;Nuove Iniziative Industriali srl, Ministry of Agriculture and Livestock;Italy, Guinea;Biofuels, Non-food agricultural commodities;[2010] Concluded (Contract signed);74504;Tobacco, Jatropha
Senegal;Nuove Iniziative Industriali srl;Italy;Biofuels;[2010] Concluded (Contract signed);50000;Jatropha
Ethiopia;Nuove Iniziative Industriali srl;Italy;Biofuels;Concluded (Contract signed);40000;Jatropha
Democratic Republic of the Congo;Carbon2Green;Canada;Biofuels, For carbon sequestration/REDD;[2009] Intended (Expression of interest);;Jatropha
Democratic Republic of the Congo;Greater Kingdom Group;China;Biofuels;[2011] Intended (Expression of interest);;Jatropha
Gambia;Ovidiu Tender;Romania;Biofuels;Concluded (Contract signed);30000;Jatropha
Senegal;Ovidiu Tender;Romania;Biofuels;Concluded (Contract signed);100000;Jatropha
Ghana;Abellon CleanEnergy Ltd.;India;Biofuels;[2011] Intended (Expression of interest);;Bamboo, Sorghum
Sri Lanka;Vasudewan Rasaiya;United States of America;Tourism;Concluded (Contract signed);254;
Indonesia;M.P. Evans Group PLC , Sudihugeng Hardjojo;United Kingdom of Great Britain and Northern Ireland, Indonesia;Agriunspecified;[2007] Concluded (Contract signed);18600;Oil Palm
Viet Nam;Banyan Tree Holdings Limited;Singapore;Tourism;;;
Guinea;SOCFIN;Luxembourg;Agriunspecified, Non-food agricultural commodities;Concluded (Contract signed);22000;Oil Palm, Rubber
Indonesia;SOCFIN;Luxembourg;Agriunspecified;[2008] Failed (Contract canceled);;Oil Palm
Democratic Republic of the Congo;Nocafex;Belgium;Agriunspecified, Food crops, Non-food agricultural commodities;Concluded (Contract signed);37800;Cacao, Coffee Plant, Oil Palm, Rubber
Democratic Republic of the Congo;Hawkwood Capital LLC;United Kingdom of Great Britain and Northern Ireland;Food crops, For wood and fibre;[2008] Concluded (Contract signed);10000;Corn (Maize), Eucalyptus, Oil Palm, Rice
Democratic Republic of the Congo;Hawkwood Capital LLC;United Kingdom of Great Britain and Northern Ireland;Food crops, For wood and fibre, Non-food agricultural commodities;[2008] Concluded (Contract signed);12700;Eucalyptus, Oil Palm, Rubber
Indonesia;IOI Group, Wellpoint Pacific Holdings Ltd;Malaysia, British Virgin Islands;Agriunspecified;Concluded (Contract signed);199000;Oil Palm
Indonesia;Kencana Agri Limited;Singapore;Agriunspecified;;23000;Oil Palm
Indonesia;Kencana Agri Limited;Singapore;Agriunspecified;[2009] Concluded (Oral Agreement);103000;Oil Palm
Indonesia;Kencana Agri Limited;Singapore;Agriunspecified;[2005] Concluded (Oral Agreement);46000;Oil Palm
Indonesia;Kencana Agri Limited;Singapore;Agriunspecified;[2004] Concluded (Oral Agreement);12000;Oil Palm
Indonesia;TSH Resources Berhad;Malaysia;Agriunspecified;[2013] Concluded (Contract signed);5180;Oil Palm
United Republic of Tanzania;Arkadia Ltd;Italy;Biofuels;Concluded (Contract signed);500;Jatropha
United Republic of Tanzania;Unnamed investor 253;Canada, United Republic of Tanzania;Biofuels;Intended (Under negotiation);;Jatropha
Argentina;DWS GALOF;Singapore;Food crops;[2009] Concluded (Contract signed);30000;Grains
United Republic of Tanzania;Eurotech;Republic of Korea;Biofuels;[2010] Intended (Under negotiation);;Castor Oil Plant, Jatropha
United Republic of Tanzania;Eurovistaa Trading Co. Ltd;India;Food crops, Non-food agricultural commodities;[2006] Concluded (Contract signed);5992;Pulses, Cotton, Oil Seeds, Peas, Corn (Maize)
United Republic of Tanzania;Scheer Foundation;United States of America;Food crops;[2012] Concluded (Contract signed);5000;Cassava (Maniok)
United Republic of Tanzania;Verein HST;Switzerland;Food crops;[2008] Concluded (Oral Agreement);263;Rice, Sun Flower
United Republic of Tanzania;James Maynard;United Kingdom of Great Britain and Northern Ireland;Food crops;[2012] Concluded (Oral Agreement);5000;Rice
United Republic of Tanzania;Mufindi Paper Mills Limited;United Republic of Tanzania;For wood and fibre;Concluded (Contract signed);10000;Pine, Trees
United Republic of Tanzania;Nava Bharat Singapore Pte. Limited (NBS), National Development Corporation;Singapore, United Republic of Tanzania;Agriunspecified, Biofuels, Renewable Energy;[2013] Concluded (Contract signed);6000;Oil Palm
United Republic of Tanzania;Mahakaushal Sugar and Power Industries Ltd;India;Biofuels, Food crops, Renewable Energy;[2012] Concluded (Contract signed);12132;Sugar Cane
United Republic of Tanzania;Shanta Estates Ltd;Kenya;Biofuels;Concluded (Oral Agreement);14500;Jatropha
United Republic of Tanzania;SyEnergy Agriproduction;India;Food crops;[2012] Intended (Under negotiation);;Rice
United Republic of Tanzania;Alteo Ltd, Government of Tanzania;Mauritius, United Republic of Tanzania;Food crops, Renewable Energy;[2000] Concluded (Contract signed);15800;Sugar Cane
Colombia;Cargill;United States of America;Food crops;[2010] Concluded (Contract signed);52570;Corn (Maize), Soya Beans
Colombia;Riopaila Castilla S.A;Colombia;Biofuels, Food crops;[2011] Concluded (Contract signed);42000;Oil Palm, Sugar Cane
Peru;Gandules INC SAC;Peru;Food crops;[2008] Concluded (Contract signed);1234;Fruit
Mozambique;Grupo Portucel Soporcel;Portugal;For wood and fibre, Renewable Energy;[2011] Concluded (Contract signed);182886;Eucalyptus
Indonesia;Sinochem Group;China;Biofuels, Non-food agricultural commodities;[2012] Failed (Negotiations failed);;Oil Palm
Indonesia;Mazhongdu International, Hainan Baisha, Hateg Corporation;China, Malaysia;Non-food agricultural commodities;[2011] Concluded (Oral Agreement);41000;Rubber
Liberia;Samling Global Ltd.;Malaysia;For wood and fibre;[2009] Concluded (Contract signed);119344;Trees
Zambia;Puzzolana Group;India;Biofuels, Food crops;[2011] Intended (Expression of interest);;Sugar Cane
Zambia;Biomax, Gourock Ropes & Canvas (Z) Ltd;South Africa, Zambia;Biofuels, Food crops, Industry;[2008] Failed (Negotiations failed);;Corn (Maize), Oil Palm
Lao People's Democratic Republic;Olam International Ltd.;Singapore;Food crops;[2010] Concluded (Contract signed);3000;Coffee Plant
Lao People's Democratic Republic;Indo-China Group;China;Agriunspecified;Concluded (Contract signed);7689;Cassava (Maniok)
Lao People's Democratic Republic;RTL World Trade Company;Thailand;Agriunspecified;[2012] Concluded (Oral Agreement);;Cassava (Maniok), Oil Palm
Lao People's Democratic Republic;Vietnam Rubber Group;Viet Nam;Non-food agricultural commodities;Concluded (Contract signed);10000;Rubber
Cameroon;Phatisa ;Mauritius;Food crops, Livestock;[2012] Concluded (Contract signed);350;Corn (Maize), Soya Beans
Ghana;Formako Farms;United Kingdom of Great Britain and Northern Ireland;Food crops;Concluded (Contract signed);405;Cacao, Corn (Maize), Pineapple
Côte d'Ivoire;Maeva Group;Mozambique;Agriunspecified;Concluded (Contract signed);100000;Oil Palm
Guinea;Agro Energy Développement;France;Biofuels;[2007] Concluded (Contract signed);100000;Jatropha
Mali;Agro Energy Développement;France;Food crops;[2007] Intended (Under negotiation);;Sun Flower, Wheat
Indonesia;Felda Global Ventures Holdings Berhad (FGV);Malaysia;Food crops, Non-food agricultural commodities;[2013] Concluded (Contract signed);8193;Oil Palm
Indonesia;Felda Global Ventures Holdings Berhad (FGV);Malaysia;Non-food agricultural commodities;[2013] Concluded (Contract signed);12844;Rubber
Peru;Cooperativa Agraria San José de La Golondrina, Ernesto Antenor León Ramirez, Jorge Angel Raygada Tavara, Luis Antonio León Ramirez, Rodolfo Eduardo León Ramirez, Cocha Nueva, James Leigh García;Peru;Biofuels;[2003] Concluded (Contract signed);26219;Sugar Cane
Mozambique;Development Agroindustrial Investment Spa, CASIS (Company Agro Social Igo Sammartini);Italy;Food crops;[2010] Concluded (Contract signed);3000;Corn (Maize), Rice, Soya Beans, Sun Flower, Wheat
Ethiopia;Lim Siow Jin Estate;Malaysia;Agriunspecified, Food crops, Non-food agricultural commodities;[2010] Concluded (Contract signed);31000;Sesame, Corn (Maize), Oil Palm, Rubber, Trees
Honduras;SabMiller;United Kingdom of Great Britain and Northern Ireland;Food crops;[2001] Concluded (Contract signed);4264;Sugar Cane
Paraguay;Fundación Paz Global;Republic of Korea;Agriunspecified, Other (please specify);[2000] Concluded (Contract signed);240000;
Argentina;Olam International Ltd.;Singapore;Food crops;[2005] Concluded (Contract signed);17000;Corn (Maize), Peanut, Soya Beans
Malawi;Exagris Africa Limited (EAA);Malawi;Food crops, Livestock;[2003] Concluded (Contract signed);3830;Bean, Corn (Maize), Peanut, Soya Beans, Vegetables
Guyana;Ajeenkya D Y Patil Group;India;Food crops, Livestock;[2014] Failed (Negotiations failed);;Fruit, Vegetables
Brazil;Grupo SLC;Brazil;Food crops;[2012] Concluded (Contract signed);28837;Corn (Maize), Cotton, Soya Beans
Brazil;Grupo SLC;Brazil;Food crops;[2011] Concluded (Contract signed);12872;Corn (Maize), Cotton, Soya Beans
Brazil;Grupo SLC;Brazil;Food crops;[2011] Concluded (Contract signed);38244;Corn (Maize), Cotton, Soya Beans
Brazil;Grupo SLC;Brazil;Food crops;[2008] Concluded (Contract signed);31826;Cotton, Soya Beans
Brazil;Grupo SLC;Brazil;Food crops;[2008] Concluded (Contract signed);23742;Corn (Maize), Cotton, Soya Beans
Brazil;Grupo SLC;Brazil;Food crops;[2007] Concluded (Contract signed);30355;Soya Beans
Brazil;Grupo SLC;Brazil;Food crops;[2006] Concluded (Contract signed);25294;Corn (Maize), Cotton, Soya Beans
Brazil;Grupo SLC;Brazil;Food crops;[2000] Concluded (Contract signed);33238;Corn (Maize), Cotton, Soya Beans
Argentina;Almarai Co.;Saudi Arabia;Food crops;[2011] Concluded (Contract signed);35306;Corn (Maize), Soya Beans
Zambia;Bedford Biofuels;Canada;Biofuels;Failed (Negotiations failed);;Jatropha
Zambia;Industrial Development Corporation of Zambia, ZamBeef;Zambia;Agriunspecified;[2008] Concluded (Contract signed);20000;Oil Palm
Colombia;Monica Semillas;Brazil;Food crops;[2008] Concluded (Contract signed);13000;Soya Beans
Peru;Agricola Alpamayo S.A.;Peru;Food crops;[2006] Concluded (Contract signed);345;Fruit
Peru;Agro Las Dunas E.I.R.L.;Peru;Food crops;[2001] Concluded (Contract signed);1774;Pomegranate, Vegetables
Jamaica;China National Complete Plant Import & Export Corporation;China;Food crops;[2011] Concluded (Contract signed);18000;Sugar Cane
Lao People's Democratic Republic;Vietcombank Securities Limited Company (VCBS), Vietnam Rubber Group;Viet Nam;Forestunspecified, Non-food agricultural commodities;[2007] Concluded (Contract signed);8650;Accacia, Rubber
Lao People's Democratic Republic;Vietnam Rubber Group;Viet Nam;Non-food agricultural commodities;[2012] Concluded (Contract signed);6000;Rubber
Lao People's Democratic Republic;Vietnam Rubber Group;Viet Nam;Non-food agricultural commodities;Concluded (Oral Agreement);923;Rubber
Lao People's Democratic Republic;Viet Nam National Coffee Corp. (Vinacafe), Dak Uy Coffee Company;Viet Nam;Food crops;[2007] Concluded (Contract signed);1000;Coffee Plant
Lao People's Democratic Republic;Tin Nghia Corporation;Viet Nam;Food crops, Industry, Non-food agricultural commodities, Tourism;[2012] Concluded (Contract signed);;Coffee Plant, Fodder Plants
Lao People's Democratic Republic;Saigon Agricultural Corporation ;Viet Nam;Food crops, Non-food agricultural commodities;;;Coffee Plant, Corn (Maize), Rubber
Peru;ECO S.A.;Peru;Other (please specify);[2006] Concluded (Contract signed);262;
Peru;CIA.MINERA SAN SIMON S.A.;Peru;Agriunspecified;[2006] Concluded (Contract signed);2566;
Peru;MARIA LEONOR HONORINA ANAYA;Peru;Food crops;[2006] Concluded (Contract signed);831;
Peru;VILLA AGRO EIRL;Peru;Food crops;[2008] Concluded (Contract signed);721;
Peru;EL ROCIO S.A;Peru;Agriunspecified;[2008] Concluded (Contract signed);1095;
Peru;CONSORCIO JRC AGROINDUSTRIAS S.A.C;Peru;Agriunspecified;[2006] Concluded (Contract signed);211;
Lao People's Democratic Republic;Delta Coffee ;Malaysia;Food crops;;200;Coffee Plant
India;Defence Research and Development Organisation;India;Industry;[2011] Concluded (Contract signed);1736;
India;Indian Institute of Science;India;Industry;[2009] Concluded (Contract signed);607;
India;Bhabha Atomic Research Centre;India;Industry;Concluded (Contract signed);732;
India;Sagitaur Ventures India Pvt. Ltd.;India;Industry;[2013] Concluded (Contract signed);404;
India;Indian Space Research Organisation;India;Industry;Concluded (Contract signed);231;
Lao People's Democratic Republic;CBF Pharma Company , Binh Dinh Pharmaceutical and Medical Equipment Company (BIDIPHAR), Hoang Anh Gia Lai (HAGL);Lao People's Democratic Republic, Viet Nam;Food crops, Non-food agricultural commodities;[2006] Concluded (Contract signed);8000;Coffee Plant, Rubber
Lao People's Democratic Republic;Hoang Anh Gia Lai (HAGL);Viet Nam;Biofuels, Food crops, Non-food agricultural commodities;[2011] Concluded (Contract signed);10000;Sugar Cane
Lao People's Democratic Republic;Hoang Anh Gia Lai (HAGL);Viet Nam;Non-food agricultural commodities;[2007] Concluded (Oral Agreement);2549;Rubber
Peru;ASOCIACION PAMPA 3 CHOZAS;Peru;Agriunspecified;[2008] Concluded (Contract signed);1639;
Peru;Grupo San Fernando S.A;Peru;Food crops;[2008] Concluded (Contract signed);926;
Philippines;Sterling Paper Group, First Pacific;Philippines, China, Hong Kong Special Administrative Region;Food crops;[2013] Intended (Under negotiation);;Rice (hybrid)
Mozambique;Olam International Ltd.;Singapore;Non-food agricultural commodities;[2012] Concluded (Contract signed);1500;Cotton
Lao People's Democratic Republic;Dao Heuang Group;Lao People's Democratic Republic;Food crops, Industry;;250;Coffee Plant
Lao People's Democratic Republic;Xeunhua Commerce Company, Ltd.;China;Non-food agricultural commodities;Concluded (Contract signed);1025;Rubber
Mozambique;Rajarambapu Patil Sahakari Sakhar Karkhana Ltd.;India;Biofuels, Food crops, Renewable Energy;[2013] Intended (Under negotiation);;Cassava (Maniok), Rice, Sugar Cane
Lao People's Democratic Republic;Phongsapthavy Road-Bridge Construction Company, Ltd.;Lao People's Democratic Republic;Industry, Non-food agricultural commodities;[2008] Concluded (Contract signed);345;Rubber
Lao People's Democratic Republic;Pavina Coffee Company, Ltd.;;Non-food agricultural commodities;Concluded (Contract signed);318;Rubber
Sudan;GLB Invest;Lebanon;Food crops, Non-food agricultural commodities;[2013] Concluded (Contract signed);87200;Sun Flower, Sesame, Alfalfa, Corn (Maize)
Lao People's Democratic Republic;Pavina Agriculture Development Co. Ltd.;;Agriunspecified;;;Rice
Lao People's Democratic Republic;Houfuco Company, Ltd.;Viet Nam;Agriunspecified;[2005] Concluded (Contract signed);284;Cassava (Maniok)
Lao People's Democratic Republic;Sithat Road- Bridge Construction Company, Ltd.;Lao People's Democratic Republic;Agriunspecified;[2008] Concluded (Contract signed);100;Rice
Lao People's Democratic Republic;Paolong Rubber Plantation Company, Ltd.;China;Non-food agricultural commodities;Concluded (Contract signed);100;Rubber
Lao People's Democratic Republic;Jiasouang Rubber Promotion Co., Ltd.;;Non-food agricultural commodities;[2009] Failed (Contract canceled);20;Rubber
Lao People's Democratic Republic;Kunming Ruipu Biotechnology Co. Ltd.;China;For wood and fibre, Livestock, Non-food agricultural commodities;[2009] Concluded (Contract signed);10000;Rubber
Uruguay;Shirley Elízabeth San Martín Machado;Uruguay;Livestock;[2012] Concluded (Contract signed);320;
Uruguay;Telmo Luis García da Rosa Montssi;Uruguay;Livestock;[2012] Concluded (Contract signed);320;
Uruguay;Jorge Isaac Sarnicola Leal;Uruguay;Livestock;[2012] Concluded (Contract signed);356;
Uruguay;Grupo Colonia Rossel y Ruis;Uruguay;Livestock;[2012] Concluded (Contract signed);414;
Uruguay;Grupo La Calera;Uruguay;Livestock;[2012] Concluded (Contract signed);286;
Uruguay;Grupo Barriga Negra;Uruguay;Livestock;[2012] Concluded (Contract signed);292;
Uruguay;Grupo de la Sierra;Uruguay;Livestock;[2012] Concluded (Contract signed);564;
Uruguay;Grupo Villa del Rosario;Uruguay;Livestock;[2012] Concluded (Contract signed);814;
Uruguay;Uruguayan Government;Uruguay;Other (please specify);[2012] Concluded (Contract signed);1085;
Uruguay;Leonardo Marcel Núñez Correa;Uruguay;Livestock;[2012] Concluded (Contract signed);349;
Uruguay;Néstor Fabian Segui Ferret;Uruguay;Livestock;[2012] Concluded (Contract signed);405;
Lao People's Democratic Republic;Sino-Lao Jinrun Development Company, Yunnan Local Product Import Export Company, Beijing Jinrun Rubber Co. Ltd., Tongly;China, Lao People's Democratic Republic;Industry, Non-food agricultural commodities;Concluded (Contract signed);22000;Rubber
Madagascar;BIOAGRI;Madagascar;Non-food agricultural commodities;[2005] Concluded (Contract signed);658;
Lao People's Democratic Republic;Siphansalika Rubber Development Co., Ltd.;Lao People's Democratic Republic;Non-food agricultural commodities;[2005] Concluded (Contract signed);10000;Rubber
Lao People's Democratic Republic;Kouangsy;Lao People's Democratic Republic;Food crops, Non-food agricultural commodities;[2003] Concluded (Contract signed);5000;Rubber, Tea
Lao People's Democratic Republic;Chonghe;;;[2005] Concluded (Contract signed);5000;Rubber
Paraguay;Campos Morombí S.A;Paraguay;Agriunspecified;[2005] Concluded (Contract signed);2000;
Uruguay;"Pacific Century Group, TRG Management LP (""TRG,"" d/b/a The Rohatyn Group), Said Holding, Pictet Private Equity Investors, Solvia Investment Management, Louis Dreyfus Group";China, Hong Kong Special Administrative Region, United States of America, Bermuda, Switzerland, United Kingdom of Great Britain and Northern Ireland, Netherlands;Food crops, Livestock;[2008] Concluded (Contract signed);1010;Soya Beans
Uruguay;"Pacific Century Group, TRG Management LP (""TRG,"" d/b/a The Rohatyn Group), Said Holding, Pictet Private Equity Investors, Solvia Investment Management, Louis Dreyfus Group";China, Hong Kong Special Administrative Region, United States of America, Bermuda, Switzerland, United Kingdom of Great Britain and Northern Ireland, Netherlands;Food crops, Livestock;[2008] Concluded (Contract signed);611;Soya Beans
Uruguay;"Pacific Century Group, TRG Management LP (""TRG,"" d/b/a The Rohatyn Group), Said Holding, Pictet Private Equity Investors, Solvia Investment Management, Louis Dreyfus Group";China, Hong Kong Special Administrative Region, United States of America, Bermuda, Switzerland, United Kingdom of Great Britain and Northern Ireland, Netherlands;Food crops, Livestock;[2009] Concluded (Contract signed);708;Soya Beans, Wheat
Uruguay;"Pacific Century Group, TRG Management LP (""TRG,"" d/b/a The Rohatyn Group), Said Holding, Pictet Private Equity Investors, Solvia Investment Management, Louis Dreyfus Group";China, Hong Kong Special Administrative Region, United States of America, Bermuda, Switzerland, United Kingdom of Great Britain and Northern Ireland, Netherlands;Food crops, Livestock;[2008] Concluded (Contract signed);1659;Soya Beans, Wheat
Lao People's Democratic Republic;Yunnan Rubber Company Ltd.;China;Non-food agricultural commodities;[2004] Concluded (Oral Agreement);3000;Rubber
Lao People's Democratic Republic;Seunly Rubber Plantation Company;China;Non-food agricultural commodities;Concluded (Contract signed);;Rubber
Lao People's Democratic Republic;Deshang;China;Non-food agricultural commodities;Concluded (Contract signed);1500;Rubber
Lao People's Democratic Republic;Jiafeng;China;Non-food agricultural commodities;Concluded (Contract signed);3000;Rubber
Lao People's Democratic Republic;Jinsen;China;Non-food agricultural commodities;Concluded (Contract signed);3000;Rubber
Lao People's Democratic Republic;Leilin;China;Non-food agricultural commodities;Concluded (Contract signed);1500;Rubber
Lao People's Democratic Republic;Kunming Ruipu Biotechnology Co. Ltd.;China;Non-food agricultural commodities;Concluded (Contract signed);3000;Rubber
Lao People's Democratic Republic;Luhang;China;Non-food agricultural commodities;Concluded (Contract signed);4000;Rubber
Lao People's Democratic Republic;Nanyong;China;Industry;Concluded (Contract signed);400;Rubber
Lao People's Democratic Republic;Xishuangbanna Foreign Trade Co., Ltd.;China;Industry;;;Rubber
Guatemala;Pantaleon;Guatemala;For wood and fibre;[2005] Concluded (Contract signed);1800;Eucalyptus
Peru;Rocío Torres Carcasi;Peru;Livestock;[2011] Concluded (Contract signed);3500;
Colombia;Ecopetrol SA;Colombia;Biofuels;[2005] Concluded (Contract signed);14400;Sugar Cane
Colombia;La Esperanza Timberland Holding Limited;British Virgin Islands;Agriunspecified;[2012] Concluded (Contract signed);1292;
Colombia;La Diana Timberland Holdings Limited;British Virgin Islands;Agriunspecified;[2012] Concluded (Contract signed);1283;
Colombia;Las Ventas Timberland Holdings Limited;British Virgin Islands;Agriunspecified;[2012] Concluded (Contract signed);1273;
Colombia;Potosí Timberland Holdings Limited;British Virgin Islands;Agriunspecified;[2012] Concluded (Contract signed);1269;
Colombia;La Libertad Wood Holdings Limited;British Virgin Islands;Agriunspecified;[2012] Concluded (Contract signed);1294;
Colombia;La Paz Wood Holding Limited;British Virgin Islands;Agriunspecified;[2012] Concluded (Contract signed);1290;
Colombia;La Esperanza Wood Holding Limited;British Virgin Islands;Agriunspecified;[2012] Concluded (Contract signed);1294;
Colombia;Canaguay Wood Holding Limited;British Virgin Islands;Agriunspecified;[2012] Concluded (Contract signed);1293;
Colombia;El Morichal Wood Holding Limited;British Virgin Islands;Agriunspecified;[2012] Concluded (Contract signed);880;
Colombia;Paraíso Wood Holding Limited;British Virgin Islands;Agriunspecified;[2012] Concluded (Contract signed);326;
Lao People's Democratic Republic;Thai Rubber Latex Corporation (Thailand) Public Company Limited (Thaitex);Thailand;Non-food agricultural commodities;[2004] Intended (Expression of interest);;Rubber
Senegal;Mr Laurent Nicolas;France;Food crops;[2014] Concluded (Contract signed);571;Rice
Senegal;AGRINA;Senegal;Food crops;[2005] Concluded (Contract signed);5000;Vegetables
Senegal;Abdulaye Wade;Senegal;Livestock;[2006] Concluded (Contract signed);3000;
Senegal;Hayat;Libya;;[2011] Concluded (Contract signed);3150;
Senegal;Bioenergy Production s.r.l.;Italy;Biofuels, For carbon sequestration/REDD;[2009] Concluded (Contract signed);2750;Peanut, Jatropha
Zambia;Crookes Brothers Ltd;South Africa;Biofuels, Food crops, Renewable Energy;[2009] Concluded (Contract signed);440;Sugar Cane
Mozambique;Crookes Brothers Ltd;South Africa;Food crops;[2011] Concluded (Contract signed);4030;Oil Seeds, Corn (Maize), Potatoes
China;Oji Paper Co Ltd, Marubeni Co.;Japan;For wood and fibre;Concluded (Contract signed);;Eucalyptus
China;Oji Paper Co Ltd, Guangdong Petro-trade Development Corp., Marubeni Co.;Japan, China;For wood and fibre, Other (please specify);;;Eucalyptus
China;Shandong Rizhao SSYMB Pulp and Paper Co. Ltd, Royal Golden Eagle International (RGE);China, Indonesia;Conservation, For wood and fibre, Industry;Concluded (Contract signed);;Eucalyptus
Chile;Compañía Cervecerías Unidas (CCU);Chile;Industry;[2013] Intended (Under negotiation);;
Argentina;Bruno Mauricio Varela Marin;Uruguay;Agriunspecified;[2007] Concluded (Contract signed);14516;
China;Cofco;China;Food crops, Industry;Concluded (Contract signed);;Tomatoes
China;Cofco;China;Food crops, Industry;;;Sugar beet
China;Cofco;China;Food crops, Industry;Concluded (Contract signed);;Vineyard
China;Cofco;China;Food crops;Concluded (Contract signed);;Tea
Brazil;Fonterra;New Zealand;Livestock;[2013] Concluded (Contract signed);855;
Brazil;SB Agrícola Ltda;United States of America;Food crops;[2013] Concluded (Contract signed);2194;Food crops (no specification)
Philippines;E-Cane Fuel Corp;United States of America;Biofuels;[2008] Intended (Under negotiation);2000;Sugar Cane
Philippines;First Pampanga Biofuels Corp;Philippines;Biofuels;;;Sorghum, Cassava (Maniok)
Philippines;Abengoa SA;Spain;Biofuels;[2007] Intended (Under negotiation);;Cassava (Maniok)
Philippines;Cavite Biofuel Producers Inc;Philippines;Biofuels;[2008] Concluded (Contract signed);2580;Sugar Cane
Brazil;Brookfield Asset Management;Canada;Biofuels, Food crops, Livestock;[2000] Concluded (Contract signed);13089;Grains, Sugar Cane
Brazil;Brookfield Asset Management;Canada;Livestock;[2007] Concluded (Contract signed);11925;
Brazil;Brookfield Asset Management;Canada;Biofuels, Food crops, Livestock;[2000] Concluded (Contract signed);6798;Pineapple, Sugar Cane
Brazil;Brookfield Asset Management;Canada;Livestock;[2008] Concluded (Contract signed);5292;
Brazil;Brookfield Asset Management;Canada;Livestock;[2007] Concluded (Contract signed);12777;
Brazil;Brookfield Asset Management;Canada;Livestock;[2007] Concluded (Contract signed);7320;
Brazil;Brookfield Asset Management;Canada;Livestock;[2005] Concluded (Contract signed);30000;
Brazil;Brookfield Asset Management;Canada;Livestock;[2007] Concluded (Contract signed);12920;
Brazil;Brookfield Asset Management;Canada;Food crops, Livestock;[2008] Concluded (Contract signed);17870;Grains
Philippines;Canlaon Alco Green Agro Industrial Corporation;Philippines;Biofuels;[2010] Concluded (Contract signed);2302;Sugar Cane
Philippines;Biofuels International Philippines Inc;Philippines;Biofuels;[2010] Concluded (Contract signed);4274;Sorghum, Sugar Cane
Philippines;Fuel Using Ethanol Ltd Inc;Philippines;Biofuels;[2010] Concluded (Contract signed);1202;Sugar Cane
Philippines;Greenergy Holdings Inc;Philippines;Biofuels;Concluded (Oral Agreement);15000;Sugar Cane
